Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
Sabit Abdulai,gh GHA,MF,Getafe,21,1999,3,0,60,0.7,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,1,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Marcos Acuña,ar ARG,DF,Sevilla,28,1991,30,26,2 33,25.sept,1,2,3,1,0,0,5,0,1.0,1.0,02.juin,03.juin,65,114,133,0.04,0.08,0.12,0.04,0.12,0.04,0.10,0.14,0.04,0.14
Bobby Adekanye,nl NED,FW MF,Cádiz,21,1999,3,0,36,0.4,0,0,0,0,0,0,0,0,0.3,0.3,0.0,0.3,4,0,4,0.00,0.00,0.00,0.00,0.00,0.85,0.00,0.85,0.85,0.85
Martin Agirregabiria,es ESP,DF MF,Alavés,24,1996,26,16,1 558,17.mars,0,1,1,0,0,0,1,0,0.1,0.1,0.7,0.9,11,39,36,0.00,0.06,0.06,0.00,0.06,0.01,0.04,0.05,0.01,0.05
Joseph Aidoo,gh GHA,DF,Celta Vigo,24,1995,25,14,1 289,14.mars,0,0,0,0,0,0,3,0,0.8,0.8,0.3,01.janv,11,43,1,0.00,0.00,0.00,0.00,0.00,0.06,0.02,0.08,0.06,0.08
Carlos Akapo,gq EQG,DF,Cádiz,27,1993,13,10,865,09.juin,1,0,1,1,0,0,3,1,0.3,0.3,0.2,0.5,12,15,15,0.10,0.00,0.10,0.10,0.10,0.03,0.02,0.05,0.03,0.05
Paul Akouokou,ci CIV,MF,Betis,22,1997,10,4,378,04.févr,0,0,0,0,0,0,5,1,0.0,0.0,0.6,0.6,4,13,1,0.00,0.00,0.00,0.00,0.00,0.00,0.14,0.14,0.00,0.14
Jony Álamo,es ESP,MF,Elche,18,2001,1,1,73,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,1,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03
Jordi Alba,es ESP,DF FW,Barcelona,31,1989,35,34,3 025,33.6,3,5,8,3,0,0,9,0,01.sept,01.sept,07.juin,09.mai,48,197,354,0.09,0.15,0.24,0.09,0.24,0.06,0.22,0.28,0.06,0.28
Raúl Albiol,es ESP,DF,Villarreal,34,1985,35,35,3 115,34.6,0,0,0,0,0,0,7,0,0.9,0.9,1.0,01.sept,19,136,2,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.06,0.03,0.06
Paco Alcácer,es ESP,FW,Villarreal,26,1993,27,19,1 544,17.févr,6,4,10,5,1,2,0,0,9.0,07.mai,02.août,10.févr,12,13,77,0.35,0.23,0.58,0.29,0.52,0.53,0.16,0.69,0.43,0.60
Pedro Alcalá,es ESP,DF,Cádiz,31,1989,13,8,909,10.janv,0,0,0,0,0,0,2,0,0.1,0.1,0.0,0.1,1,11,0,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01
