Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
Yunis Abdelhamid,ma MAR,DF,Dijon,28,1987,18,15,1 314,14.juin,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00
Mehdi Abeid,dz ALG,MF,Dijon,23,1992,28,27,2 374,26.avr,3,2,5,3,0,0,8,0,0.11,0.08,0.19,0.11,0.19
Geoffrey Acheampong,gh GHA,MF,Bastia,19,1997,2,0,12,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Jordan Adéoti,bj BEN,DF MF,Caen,27,1989,27,23,2 12,23.juin,0,1,1,0,0,0,3,0,0.00,0.04,0.04,0.00,0.04
Youssef Aït Bennasser,ma MAR,MF,Nancy,20,1996,26,23,1 93,21.avr,3,1,4,3,0,0,3,0,0.14,0.05,0.19,0.14,0.19
Jean-Daniel Akpa-Akpro,ci CIV,DF MF,Toulouse,23,1992,2,0,73,0.8,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
Alexis Alegue,fr FRA,FW MF,Nantes,19,1996,2,0,18,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Romain Alessandrini,fr FRA,FW MF,Marseille,27,1989,6,3,241,02.juil,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
Jérémie Aliadière,fr FRA,FW MF,Lorient,33,1983,13,6,487,05.avr,1,2,3,1,0,0,0,0,0.18,0.37,0.55,0.18,0.55
Júnior Alonso,py PAR,DF,Lille,23,1993,12,10,959,10.juil,0,1,1,0,0,0,1,0,0.00,0.09,0.09,0.00,0.09
Ibrahim Amadou,fr FRA,DF MF,Lille,23,1993,35,34,2 952,32.8,1,0,1,1,0,0,4,0,0.03,0.00,0.03,0.03,0.03
Morgan Amalfitano,fr FRA,MF,Rennes,31,1985,6,6,401,04.mai,1,0,1,1,0,0,0,0,0.22,0.00,0.22,0.22,0.22
Morgan Amalfitano,fr FRA,MF,Lille,31,1985,17,8,733,08.janv,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Romain Amalfitano,fr FRA,MF,Dijon,26,1989,26,15,1 418,15.août,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00
Kelvin Amian,fr FRA,DF,Toulouse,18,1998,22,20,1 776,19.juil,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
Benjamin André,fr FRA,DF MF,Rennes,25,1990,36,36,3 215,35.7,0,3,3,0,0,0,6,0,0.00,0.08,0.08,0.00,0.08
Yoann Andreu,fr FRA,DF,Angers,27,1989,16,16,1 367,15.févr,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00
Benjamin Angoua,ci CIV,DF,Guingamp,29,1986,7,6,538,6.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Houssem Aouar,dz ALG,FW MF,Lyon,18,1998,3,1,127,01.avr,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Mauro Arambarri,uy URU,MF,Bordeaux,20,1995,4,0,40,0.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Alphonse Areola,fr FRA,GK,Paris S-G,23,1993,15,14,1 297,14.avr,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Fernando Aristeguieta,ve VEN,FW,Nantes,24,1992,5,0,52,0.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Sylvain Armand,fr FRA,DF,Rennes,35,1980,1,0,66,0.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Benoît Assou-Ekotto,cm CMR,DF,Metz,32,1984,18,16,1 479,16.avr,0,1,1,0,0,0,2,2,0.00,0.06,0.06,0.00,0.06
Jean-Kévin Augustin,fr FRA,FW,Paris S-G,19,1997,10,1,196,02.févr,1,2,3,1,0,0,0,0,0.46,0.92,janv.38,0.46,janv.38
Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
Serge Aurier,ci CIV,DF MF,Paris S-G,23,1992,22,21,1 829,20.mars,0,3,3,0,0,0,5,1,0.00,0.15,0.15,0.00,0.15
Ludovic Baal,gf GUF,DF MF,Rennes,30,1986,33,33,2 88,32.0,0,4,4,0,0,0,3,1,0.00,0.12,0.12,0.00,0.12
Loic Badiashile,fr FRA,GK,Monaco,18,1998,1,0,45,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Tobias Badila,cg CGO,DF,Nancy,23,1993,26,24,2 252,25.0,1,0,1,1,0,0,7,0,0.04,0.00,0.04,0.04,0.04
Dylan Bahamboula,cg CGO,FW MF,Dijon,21,1995,11,4,526,05.août,1,0,1,1,0,0,1,0,0.17,0.00,0.17,0.17,0.17
Farès Bahlouli,fr FRA,MF,Lille,21,1995,3,1,98,01.janv,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Tiemoué Bakayoko,fr FRA,MF,Monaco,21,1994,32,25,2 223,24.juil,2,1,3,2,0,0,2,1,0.08,0.04,0.12,0.08,0.12
Iván Balliu,al ALB,DF,Metz,24,1992,27,26,2 331,25.sept,0,4,4,0,0,0,4,0,0.00,0.15,0.15,0.00,0.15
Florent Balmont,fr FRA,MF,Dijon,36,1980,23,20,1 714,19.0,0,2,2,0,0,0,7,0,0.00,0.11,0.11,0.00,0.11
Mario Balotelli,it ITA,FW,Nice,25,1990,23,20,1 741,19.mars,15,1,16,12,3,4,7,3,0.78,0.05,0.83,0.62,0.67
Abdoulaye Bamba,ci CIV,DF,Angers,26,1990,8,7,593,06.juin,0,1,1,0,0,0,2,0,0.00,0.15,0.15,0.00,0.15
Jonathan Bamba,ci CIV,FW MF,Angers,20,1996,16,9,833,09.mars,3,2,5,3,0,0,0,0,0.32,0.22,0.54,0.32,0.54
Yacine Bammou,ma MAR,FW MF,Nantes,24,1991,32,18,1 778,19.août,4,3,7,4,0,0,7,0,0.20,0.15,0.35,0.20,0.35
