Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
Aymen Abdennour,tn TUN,DF,Marseille,27,1989,8,6,499,05.mai,0,0,0,0,0,0,3,0,0.1,0.1,0.0,0.1,2,12,0,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02
Mehdi Abeid,dz ALG,MF,Dijon,24,1992,19,14,1 176,13.janv,0,1,1,0,0,0,2,0,1.0,1.0,0.3,01.mars,20,49,14,0.00,0.08,0.08,0.00,0.08,0.07,0.02,0.10,0.07,0.10
Khaled Adénon,bj BEN,DF,Amiens,32,1985,34,32,2 921,32.5,0,1,1,0,0,0,9,0,0.6,0.6,0.2,0.9,6,51,1,0.00,0.03,0.03,0.00,0.03,0.02,0.01,0.03,0.02,0.03
Yacine Adli,fr FRA,FW,Paris S-G,17,2000,1,0,8,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Ruben Aguilar,fr FRA,DF,Montpellier,24,1993,31,27,2 459,27.mars,0,2,2,0,0,0,2,0,0.7,0.7,03.juil,04.avr,97,130,160,0.00,0.07,0.07,0.00,0.07,0.03,0.13,0.16,0.03,0.16
Jean-Eudes Aholou,ci CIV,MF,Strasbourg,23,1994,35,35,3 006,33.4,5,0,5,5,0,0,4,0,02.févr,02.févr,1.0,03.mars,32,131,22,0.15,0.00,0.15,0.15,0.15,0.07,0.03,0.10,0.07,0.10
Youssef Aït Bennasser,ma MAR,MF,Caen,21,1996,27,25,2 047,22.juil,0,0,0,0,0,0,4,0,0.7,0.7,0.7,01.mai,37,178,27,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.06,0.03,0.06
David Alcibiade,fr FRA,DF,Nantes,25,1991,3,2,208,02.mars,0,1,1,0,0,0,0,0,0.1,0.1,0.4,0.4,2,6,2,0.00,0.43,0.43,0.00,0.43,0.03,0.16,0.19,0.03,0.19
Júnior Alonso,py PAR,DF,Lille,24,1993,34,30,2 781,30.sept,2,1,3,2,0,0,3,0,01.janv,01.janv,0.5,01.juil,19,114,14,0.06,0.03,0.10,0.06,0.10,0.04,0.02,0.05,0.04,0.05
Dani Alves,br BRA,DF,Paris S-G,34,1983,25,23,2 063,22.sept,1,7,8,1,0,0,7,1,01.avr,01.avr,5.0,06.mars,76,168,144,0.04,0.31,0.35,0.04,0.35,0.06,0.22,0.28,0.06,0.28
Ibrahim Amadou,fr FRA,MF DF,Lille,24,1993,30,30,2 405,26.juil,0,0,0,0,0,0,3,1,0.9,0.9,0.4,01.mars,18,114,19,0.00,0.00,0.00,0.00,0.00,0.03,0.01,0.05,0.03,0.05
Morgan Amalfitano,fr FRA,MF FW,Rennes,32,1985,14,10,746,08.mars,0,0,0,0,0,0,2,2,1.0,1.0,0.5,01.mai,16,24,34,0.00,0.00,0.00,0.00,0.00,0.12,0.06,0.18,0.12,0.18
Romain Amalfitano,fr FRA,MF,Dijon,27,1989,33,31,2 703,30.0,0,3,3,0,0,0,5,0,0.3,0.3,01.août,02.févr,50,146,46,0.00,0.10,0.10,0.00,0.10,0.01,0.06,0.07,0.01,0.07
Jordan Amavi,fr FRA,DF,Marseille,23,1994,27,24,2 193,24.avr,0,5,5,0,0,0,7,0,0.6,0.6,2.0,02.juin,70,90,83,0.00,0.21,0.21,0.00,0.21,0.02,0.08,0.11,0.02,0.11
