,,,,,,Playing Time,,,,Performance,,,,,,,,Expected,,,,Progression,,,Per 90 Minutes,,,,,,,,,
Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
Patrick van Aanholt,nl NED,DF,Crystal Palace,26,1990,28,25,2 184,24.mars,5,1,6,5,0,0,7,0,03.janv,03.janv,02.janv,05.févr,46,92,86,0.21,0.04,0.25,0.21,0.25,0.13,0.09,0.21,0.13,0.21
Rolando Aarons,eng ENG,MF FW,Newcastle Utd,21,1995,4,1,139,01.mai,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,7,3,4,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.04,0.04
Tammy Abraham,eng ENG,FW,Swansea City,19,1997,31,15,1 726,19.févr,5,1,6,5,0,0,0,0,06.août,06.août,01.juin,08.avr,19,20,104,0.26,0.05,0.31,0.26,0.31,0.35,0.08,0.44,0.35,0.44
Charlie Adam,sct SCO,MF,Stoke City,31,1985,11,5,411,04.juin,0,0,0,0,0,1,2,1,01.juin,0.9,01.févr,02.janv,6,30,9,0.00,0.00,0.00,0.00,0.00,0.36,0.27,0.63,0.19,0.46
Adrián,es ESP,GK,West Ham,30,1987,19,19,1 71,19.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Ibrahim Afellay,nl NED,MF,Stoke City,31,1986,6,1,166,01.août,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,4,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Benik Afobe,cd COD,FW,Bournemouth,24,1993,17,5,611,06.août,0,0,0,0,0,0,0,0,01.juin,01.juin,0.1,01.août,12,9,37,0.00,0.00,0.00,0.00,0.00,0.27,0.02,0.30,0.27,0.30
Sergio Agüero,ar ARG,FW,Manchester City,29,1988,25,22,1 963,21.août,21,6,27,17,4,4,2,0,16.févr,13.janv,05.juin,18.juil,89,49,214,0.96,0.28,janv.24,0.78,01.mai,0.75,0.26,1.00,0.60,0.86
Nathan Aké,nl NED,DF,Bournemouth,22,1995,38,37,3 353,37.3,2,3,5,2,0,0,5,0,01.avr,01.avr,01.sept,03.avr,14,96,10,0.05,0.08,0.13,0.05,0.13,0.04,0.05,0.09,0.04,0.09
Marc Albrighton,eng ENG,MF FW,Leicester City,27,1989,34,30,2 538,28.févr,2,7,9,2,0,0,5,1,01.juin,01.juin,05.juil,07.mars,64,114,162,0.07,0.25,0.32,0.07,0.32,0.06,0.20,0.26,0.06,0.26
Toby Alderweireld,be BEL,DF,Tottenham,28,1989,14,13,1 178,13.janv,0,0,0,0,0,0,3,0,0.4,0.4,0.1,0.5,12,109,5,0.00,0.00,0.00,0.00,0.00,0.03,0.01,0.04,0.03,0.04
Trent Alexander-Arnold,eng ENG,DF,Liverpool,18,1998,19,18,1 573,17.mai,1,1,2,1,0,0,3,0,1.0,1.0,02.juin,03.juin,39,94,126,0.06,0.06,0.11,0.06,0.11,0.05,0.15,0.21,0.05,0.21
Joe Allen,wls WAL,MF,Stoke City,27,1990,36,36,3 139,34.9,2,6,8,2,0,0,8,0,01.août,01.août,02.août,04.juin,37,165,89,0.06,0.17,0.23,0.06,0.23,0.05,0.08,0.13,0.05,0.13
Dele Alli,eng ENG,MF FW,Tottenham,21,1996,36,34,2 958,32.9,9,10,19,9,0,0,7,0,09.janv,09.janv,08.févr,17.mars,100,181,359,0.27,0.30,0.58,0.27,0.58,0.28,0.25,0.53,0.28,0.53
Marcos Alonso,es ESP,DF MF,Chelsea,26,1990,33,33,2 855,31.juil,7,2,9,7,0,0,6,0,04.janv,04.janv,02.août,7.0,78,103,261,0.22,0.06,0.28,0.22,0.28,0.13,0.09,0.22,0.13,0.22
Daniel Amartey,gh GHA,DF,Leicester City,22,1994,8,6,487,05.avr,0,0,0,0,0,0,2,1,0.0,0.0,0.0,0.0,5,14,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Ethan Ampadu,wls WAL,DF,Chelsea,16,2000,1,0,11,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Nordin Amrabat,ma MAR,FW,Watford,30,1987,3,3,198,02.févr,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,3,7,22,0.00,0.00,0.00,0.00,0.00,0.02,0.06,0.09,0.02,0.09
Michail Antonio,jm JAM,FW MF,West Ham,27,1990,21,16,1 354,15.0,3,1,4,3,0,0,1,0,02.avr,02.avr,1.0,03.avr,47,29,117,0.20,0.07,0.27,0.20,0.27,0.16,0.07,0.23,0.16,0.23
Scott Arfield,ca CAN,MF FW,Burnley,28,1988,18,15,1 333,14.août,2,1,3,2,0,0,3,0,01.mars,01.mars,0.4,01.juin,16,32,47,0.14,0.07,0.20,0.14,0.20,0.08,0.02,0.11,0.08,0.11
