Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Max Aarons,eng ENG,DF,Norwich City,21,2000,34,32,2 881,32.0,0,2,2,0,0,0,8,0,0.8,0.8,01.juil,02.mai,78,117,85,0.00,0.06,0.06,0.00,0.06,0.03,0.05,0.08,0.03,0.08,Matches
Che Adams,sct SCO,FW,Southampton,25,1996,30,23,2 039,22.juil,7,3,10,7,0,0,0,0,07.janv,07.janv,3.0,10.janv,19,33,153,0.31,0.13,0.44,0.31,0.44,0.31,0.13,0.45,0.31,0.45,Matches
Rayan Aït-Nouri,dz ALG,DF MF,Wolves,20,2001,23,20,1 828,20.mars,1,2,3,1,0,0,4,0,0.6,0.6,01.juin,02.févr,60,49,127,0.05,0.10,0.15,0.05,0.15,0.03,0.08,0.11,0.03,0.11,Matches
Kristoffer Ajer,no NOR,DF,Brentford,23,1998,24,23,1 995,22.févr,1,3,4,1,0,0,5,0,0.8,0.8,01.juil,02.mai,30,82,29,0.05,0.14,0.18,0.05,0.18,0.04,0.08,0.11,0.04,0.11,Matches
Nathan Aké,nl NED,DF,Manchester City,26,1995,14,10,923,10.mars,2,0,2,2,0,0,0,0,0.7,0.7,0.6,01.févr,12,57,8,0.20,0.00,0.20,0.20,0.20,0.07,0.06,0.12,0.07,0.12,Matches
Marc Albrighton,eng ENG,FW DF,Leicester City,31,1989,17,11,1 132,12.juin,1,2,3,1,0,0,3,0,0.5,0.5,2.0,02.mai,21,26,56,0.08,0.16,0.24,0.08,0.24,0.04,0.16,0.20,0.04,0.20,Matches
Thiago Alcántara,es ESP,MF,Liverpool,30,1991,25,17,1 534,17.0,1,4,5,1,0,0,2,0,01.sept,01.sept,02.mars,04.févr,24,214,45,0.06,0.23,0.29,0.06,0.29,0.11,0.14,0.25,0.11,0.25,Matches
Trent Alexander-Arnold,eng ENG,DF,Liverpool,22,1998,32,32,2 853,31.juil,2,12,14,2,0,0,2,0,02.avr,02.avr,12.0,14.avr,53,267,201,0.06,0.38,0.44,0.06,0.44,0.07,0.38,0.46,0.07,0.46,Matches
Alisson,br BRA,GK,Liverpool,28,1992,36,36,3 24,36.0,0,1,1,0,0,0,0,0,0.0,0.0,0.2,0.2,0,1,0,0.00,0.03,0.03,0.00,0.03,0.00,0.01,0.01,0.00,0.01,Matches
Allan,br BRA,MF,Everton,30,1991,28,25,2 183,24.mars,0,2,2,0,0,0,7,1,0.2,0.2,0.8,01.janv,26,130,18,0.00,0.08,0.08,0.00,0.08,0.01,0.03,0.04,0.01,0.04,Matches
Dele Alli,eng ENG,MF,Tottenham,25,1996,10,8,657,07.mars,1,0,1,0,1,1,1,0,01.juin,0.8,0.3,01.janv,8,18,22,0.14,0.00,0.14,0.00,0.00,0.22,0.04,0.26,0.11,0.15,Matches
Dele Alli,eng ENG,MF FW,Everton,25,1996,11,1,338,03.août,0,0,0,0,0,0,3,0,0.1,0.1,0.4,0.5,7,13,21,0.00,0.00,0.00,0.00,0.00,0.03,0.09,0.12,0.03,0.12,Matches
Miguel Almirón,py PAR,MF FW,Newcastle Utd,27,1994,30,19,1 716,19.janv,1,0,1,1,0,0,2,0,01.juil,01.juil,0.9,02.juin,44,46,85,0.05,0.00,0.05,0.05,0.05,0.09,0.05,0.14,0.09,0.14,Matches
Marcos Alonso,es ESP,DF,Chelsea,30,1990,28,25,2 167,24.janv,4,4,8,4,0,0,8,0,02.août,02.août,04.mai,07.mars,51,93,192,0.17,0.17,0.33,0.17,0.33,0.12,0.19,0.30,0.12,0.30,Matches
Steven Alzate,co COL,MF,Brighton,22,1998,9,5,404,04.mai,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.2,3,21,6,0.00,0.00,0.00,0.00,0.00,0.02,0.03,0.05,0.02,0.05,Matches
Daniel Amartey,gh GHA,DF,Leicester City,26,1994,28,23,2 123,23.juin,0,0,0,0,0,0,4,0,0.0,0.0,0.2,0.2,14,62,0,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,Matches
Joachim Andersen,dk DEN,DF,Crystal Palace,25,1996,34,32,2 916,32.4,0,3,3,0,0,0,4,0,0.7,0.7,01.juil,02.avr,14,100,4,0.00,0.09,0.09,0.00,0.09,0.02,0.05,0.07,0.02,0.07,Matches
Michail Antonio,jm JAM,FW,West Ham,31,1990,36,34,2 971,33.0,10,8,18,10,0,1,8,1,10.août,10.févr,6.0,16.févr,77,46,246,0.30,0.24,0.55,0.30,0.55,0.33,0.18,0.51,0.31,0.49,Matches
Cameron Archer,eng ENG,FW MF,Aston Villa,20,2001,3,0,27,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.15,0.00,0.15,0.15,0.15,Matches
Alphonse Areola,fr FRA,GK,West Ham,28,1993,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Adam Armstrong,eng ENG,FW,Southampton,24,1997,23,17,1 413,15.juil,2,2,4,2,0,0,1,0,04.mai,04.mai,01.juin,06.févr,39,30,105,0.13,0.13,0.25,0.13,0.25,0.29,0.10,0.39,0.29,0.39,Matches
Stuart Armstrong,sct SCO,MF,Southampton,29,1992,25,15,1 473,16.avr,2,0,2,2,0,0,1,0,02.mai,02.mai,01.mai,4.0,63,83,78,0.12,0.00,0.12,0.12,0.12,0.15,0.09,0.24,0.15,0.24,Matches
Kepa Arrizabalaga,es ESP,GK,Chelsea,26,1994,4,4,360,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Harrison Ashby,sct SCO,DF,West Ham,19,2001,1,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Pierre-Emerick Aubameyang,ga GAB,FW,Arsenal,32,1989,14,12,1 037,11.mai,4,1,5,4,0,2,3,0,05.sept,04.févr,1.0,05.févr,21,26,47,0.35,0.09,0.43,0.35,0.43,0.51,0.09,0.60,0.36,0.45,Matches
Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Jordan Ayew,gh GHA,FW,Crystal Palace,29,1991,31,23,2 019,22.avr,3,3,6,3,0,0,2,0,03.janv,03.janv,02.août,05.sept,98,51,151,0.13,0.13,0.27,0.13,0.27,0.14,0.12,0.26,0.14,0.26,Matches
Luke Ayling,eng ENG,DF,Leeds United,29,1991,26,26,2 272,25.févr,2,2,4,2,0,0,4,1,01.févr,01.févr,01.août,03.janv,45,135,51,0.08,0.08,0.16,0.08,0.16,0.05,0.07,0.12,0.05,0.12,Matches
César Azpilicueta,es ESP,DF,Chelsea,31,1989,27,24,2 07,23.0,1,2,3,1,0,0,3,0,0.9,0.9,01.août,02.juin,49,138,132,0.04,0.09,0.13,0.04,0.13,0.04,0.08,0.11,0.04,0.11,Matches
Daniel Bachmann,at AUT,GK,Watford,27,1994,12,12,1 08,12.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Leon Bailey,jm JAM,FW MF,Aston Villa,23,1997,18,7,761,08.mai,1,2,3,1,0,0,3,0,01.mai,01.mai,0.8,02.mars,34,24,61,0.12,0.24,0.35,0.12,0.35,0.18,0.09,0.27,0.18,0.27,Matches
Eric Bailly,ci CIV,DF,Manchester Utd,27,1994,4,3,217,02.avr,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,5,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Folarin Balogun,us USA,FW,Arsenal,20,2001,2,1,70,0.8,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,0,0,4,0.00,0.00,0.00,0.00,0.00,0.29,0.00,0.29,0.29,0.29,Matches
Patrick Bamford,eng ENG,FW,Leeds United,27,1993,9,7,559,06.févr,2,2,4,2,0,0,2,0,3.0,3.0,01.janv,4.0,8,12,24,0.32,0.32,0.64,0.32,0.64,0.48,0.17,0.65,0.48,0.65,Matches
Shandon Baptiste,gd GRN,MF,Brentford,23,1998,22,9,910,10.janv,1,0,1,1,0,0,2,1,0.7,0.7,0.5,01.mars,14,35,29,0.10,0.00,0.10,0.10,0.10,0.07,0.05,0.12,0.07,0.12,Matches
