Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
Brenden Aaronson,us USA,MF FW,Leeds United,21,2000,36,28,2 372,26.avr,1,3,4,1,0,0,2,0,03.sept,03.sept,04.févr,08.janv,43,86,151,0.04,0.11,0.15,0.04,0.15,0.15,0.16,0.31,0.15,0.31
George Abbott,eng ENG,MF,Tottenham,16,2005,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Che Adams,sct SCO,FW,Southampton,26,1996,28,23,1 992,22.janv,5,3,8,5,0,0,1,0,06.juil,06.juil,02.août,09.mai,17,34,115,0.23,0.14,0.36,0.23,0.36,0.30,0.13,0.43,0.30,0.43
Tyler Adams,us USA,MF,Leeds United,23,1999,24,24,2 156,24.0,0,0,0,0,0,0,6,1,0.1,0.1,01.avr,01.mai,19,136,20,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.06,0.00,0.06
Tosin Adarabioyo,eng ENG,DF,Fulham,24,1997,25,23,2 085,23.févr,1,0,1,1,0,0,4,0,0.7,0.7,0.4,01.janv,16,95,3,0.04,0.00,0.04,0.04,0.04,0.03,0.02,0.05,0.03,0.05
Nayef Aguerd,ma MAR,DF,West Ham,26,1996,18,17,1 595,17.juil,2,0,2,2,0,0,4,0,02.févr,02.févr,0.5,02.juil,2,25,4,0.11,0.00,0.11,0.11,0.11,0.13,0.03,0.15,0.13,0.15
Naouirou Ahamada,fr FRA,MF FW,Crystal Palace,20,2002,8,0,94,1.0,0,0,0,0,0,0,1,0,0.2,0.2,0.1,0.2,1,2,11,0.00,0.00,0.00,0.00,0.00,0.15,0.07,0.22,0.15,0.22
Rayan Aït-Nouri,dz ALG,DF,Wolves,21,2001,21,9,1 076,12.0,1,0,1,1,0,0,4,0,0.7,0.7,1.0,01.juil,30,43,76,0.08,0.00,0.08,0.08,0.08,0.06,0.08,0.14,0.06,0.14
Kristoffer Ajer,no NOR,DF,Brentford,24,1998,9,9,763,08.mai,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,10,31,12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01
Manuel Akanji,ch SUI,DF,Manchester City,27,1995,29,24,2 287,25.avr,0,1,1,0,0,0,2,0,01.mars,01.mars,0.4,01.juil,24,116,17,0.00,0.04,0.04,0.00,0.04,0.05,0.02,0.07,0.05,0.07
Nathan Aké,nl NED,DF,Manchester City,27,1995,26,22,1 873,20.août,1,0,1,1,0,0,2,0,01.juin,01.juin,0.7,02.mars,25,140,30,0.05,0.00,0.05,0.05,0.05,0.07,0.04,0.11,0.07,0.11
Marc Albrighton,eng ENG,FW MF,Leicester City,32,1989,6,1,237,02.juin,1,0,1,1,0,0,0,0,0.3,0.3,0.9,01.mars,4,7,18,0.38,0.00,0.38,0.38,0.38,0.13,0.34,0.48,0.13,0.48
Thiago Alcántara,es ESP,MF,Liverpool,31,1991,18,14,1 254,13.sept,0,0,0,0,0,0,2,0,0.4,0.4,01.janv,01.mai,13,120,24,0.00,0.00,0.00,0.00,0.00,0.03,0.08,0.11,0.03,0.11
Carlos Alcaraz,ar ARG,MF FW,Southampton,19,2002,18,13,1 029,11.avr,4,2,6,4,0,0,3,0,01.sept,01.sept,0.7,02.juin,20,28,32,0.35,0.17,0.52,0.35,0.52,0.17,0.06,0.23,0.17,0.23
Trent Alexander-Arnold,eng ENG,DF,Liverpool,23,1998,37,34,2 923,32.5,2,9,11,2,0,0,5,0,02.avr,02.avr,11.mai,13.août,43,235,139,0.06,0.28,0.34,0.06,0.34,0.07,0.35,0.43,0.07,0.43
Alisson,br BRA,GK,Liverpool,29,1992,37,37,3 33,37.0,0,1,1,0,0,0,1,0,0.0,0.0,0.3,0.3,0,3,0,0.00,0.03,0.03,0.00,0.03,0.00,0.01,0.01,0.00,0.01
Dele Alli,eng ENG,MF,Everton,26,1996,2,0,40,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Miguel Almirón,py PAR,FW,Newcastle Utd,28,1994,34,29,2 491,27.juil,11,2,13,11,0,0,2,0,8.0,8.0,03.févr,11.janv,77,124,264,0.40,0.07,0.47,0.40,0.47,0.29,0.11,0.40,0.29,0.40
Julián Álvarez,ar ARG,FW MF,Manchester City,22,2000,31,13,1 465,16.mars,9,0,9,8,1,1,0,0,7.0,06.févr,01.août,8.0,38,37,99,0.55,0.00,0.55,0.49,0.49,0.43,0.11,0.54,0.38,0.49
