Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
Gennaro Acampora,it ITA,MF FW,Spezia,26,1994,14,2,441,04.sept,0,0,0,0,0,0,2,0,0.3,0.3,0.0,0.3,15,28,19,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.07,0.06,0.07
Francesco Acerbi,it ITA,DF,Lazio,32,1988,32,32,2 813,31.mars,0,1,1,0,0,0,9,1,01.janv,01.janv,1.0,02.janv,41,141,46,0.00,0.03,0.03,0.00,0.03,0.03,0.03,0.07,0.03,0.07
Andrea Adorante,it ITA,FW,Parma,20,2000,1,0,10,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Lucien Agoume,fr FRA,MF,Spezia,18,2002,12,9,800,08.sept,0,0,0,0,0,0,2,0,0.1,0.1,0.1,0.2,6,46,7,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.01,0.02
Kevin Agudelo,co COL,FW,Spezia,21,1998,29,14,1 356,15.janv,1,2,3,1,0,0,4,0,01.mai,01.mai,01.mars,02.août,50,43,82,0.07,0.13,0.20,0.07,0.20,0.10,0.09,0.19,0.10,0.19
Jean-Daniel Akpa-Akpro,ci CIV,MF,Lazio,27,1992,32,6,1 056,11.juil,0,1,1,0,0,0,9,0,01.févr,01.févr,0.8,01.sept,11,26,31,0.00,0.09,0.09,0.00,0.09,0.10,0.06,0.16,0.10,0.16
Luis Alberto,es ESP,MF,Lazio,27,1992,34,33,2 618,29.janv,9,2,11,9,0,0,5,0,05.janv,5.0,07.sept,12.sept,143,301,132,0.31,0.07,0.38,0.31,0.38,0.18,0.27,0.45,0.17,0.44
Bruno Alves,pt POR,DF,Parma,38,1981,19,18,1 632,18.janv,1,0,1,1,0,0,3,0,0.4,0.4,0.1,0.6,0,50,6,0.06,0.00,0.06,0.06,0.06,0.02,0.01,0.03,0.02,0.03
Wisdom Amey,it ITA,DF,Bologna,14,2005,1,0,2,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Sofyan Amrabat,ma MAR,MF,Fiorentina,23,1996,31,28,2 441,27.janv,0,0,0,0,0,0,7,0,0.4,0.4,0.6,01.janv,38,151,46,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.04,0.02,0.04
Djavan Anderson,sr SUR,DF,Lazio,25,1995,3,1,72,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,0,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Nícolas Andrade,br BRA,GK,Udinese,32,1988,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Davide Angelo Ghislandi,it ITA,DF,Atalanta,19,2001,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Philip Ankhrah,gh GHA,MF,Hellas Verona,17,2002,1,0,13,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Cristian Ansaldi,ar ARG,DF FW,Torino,33,1986,31,20,1 947,21.juin,1,6,7,0,1,1,1,0,01.sept,01.janv,5.0,06.janv,91,66,93,0.05,0.28,0.32,0.00,0.28,0.09,0.23,0.32,0.05,0.28
Valentin Antov,bg BUL,DF,Bologna,19,2000,5,2,232,02.juin,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,6,0,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.01,0.02
Nicolò Armini,it ITA,DF,Lazio,19,2001,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Tolgay Arslan,de GER,MF,Udinese,29,1990,30,25,1 818,20.févr,3,0,3,3,0,0,9,0,0.9,0.9,0.4,01.mars,48,80,37,0.15,0.00,0.15,0.15,0.15,0.04,0.02,0.07,0.04,0.07
Kwadwo Asamoah,gh GHA,DF MF,Cagliari,31,1988,9,1,224,02.mai,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,4,6,11,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03
Kristoffer Askildsen,no NOR,MF,Sampdoria,19,2001,6,0,95,01.janv,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,1,1,2,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03
Emil Audero,id IDN,GK,Sampdoria,23,1997,37,37,3 33,37.0,0,1,1,0,0,0,0,0,0.0,0.0,0.2,0.2,0,0,0,0.00,0.03,0.03,0.00,0.03,0.00,0.00,0.00,0.00,0.00
Tommaso Augello,it ITA,DF,Sampdoria,25,1994,37,37,3 216,35.7,1,3,4,1,0,0,2,1,0.3,0.3,03.sept,04.mars,105,157,159,0.03,0.08,0.11,0.03,0.11,0.01,0.11,0.12,0.01,0.12
Kaan Ayhan,tr TUR,DF,Sassuolo,25,1994,19,7,796,08.août,0,0,0,0,0,0,3,0,0.5,0.5,0.0,0.5,19,41,13,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.05,0.05,0.05
Milan Badelj,hr CRO,MF,Genoa,31,1989,30,29,2 408,26.août,1,4,5,1,0,0,7,0,0.8,0.8,02.juil,03.mai,23,171,25,0.04,0.15,0.19,0.04,0.19,0.03,0.10,0.13,0.03,0.13
Tiemoué Bakayoko,fr FRA,MF,Napoli,25,1994,32,23,1 964,21.août,2,1,3,2,0,0,6,1,01.janv,01.janv,0.8,01.sept,15,99,17,0.09,0.05,0.14,0.09,0.14,0.05,0.04,0.09,0.05,0.09
Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
Keita Baldé,sn SEN,FW,Sampdoria,25,1995,25,12,1 197,13.mars,7,1,8,7,0,0,4,1,05.juil,05.juil,02.avr,08.janv,40,26,110,0.53,0.08,0.60,0.53,0.60,0.42,0.18,0.61,0.42,0.61
Botond Balogh,hu HUN,DF,Parma,18,2002,3,1,165,01.août,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,2,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Mattia Bani,it ITA,DF,Genoa,26,1993,11,10,921,10.févr,0,0,0,0,0,0,4,0,0.6,0.6,0.2,0.7,1,15,3,0.00,0.00,0.00,0.00,0.00,0.06,0.01,0.07,0.06,0.07
Mattia Bani,it ITA,DF,Parma,26,1993,15,14,1 145,12.juil,0,0,0,0,0,0,6,0,0.6,0.6,0.4,1.0,5,32,5,0.00,0.00,0.00,0.00,0.00,0.05,0.03,0.08,0.05,0.08
Antonín Barák,cz CZE,MF,Hellas Verona,25,1994,34,32,2 765,30.juil,7,3,10,7,0,0,5,1,06.août,06.août,02.févr,09.janv,64,147,101,0.23,0.10,0.33,0.23,0.33,0.22,0.07,0.30,0.22,0.30
Federico Barba,it ITA,DF,Benevento,26,1993,32,31,2 659,29.mai,0,2,2,0,0,0,8,0,0.8,0.8,01.avr,02.févr,23,80,26,0.00,0.07,0.07,0.00,0.07,0.03,0.05,0.08,0.03,0.08
Nicolò Barella,it ITA,MF,Inter,23,1997,36,32,2 896,32.2,3,7,10,3,0,0,5,0,02.avr,02.avr,05.juil,08.janv,99,261,149,0.09,0.22,0.31,0.09,0.31,0.07,0.18,0.25,0.07,0.25
Antonio Barreca,it ITA,DF,Fiorentina,25,1995,3,1,85,0.9,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.2,1,6,9,0.00,0.00,0.00,0.00,0.00,0.12,0.05,0.16,0.12,0.16
Musa Barrow,gm GAM,FW MF,Bologna,21,1998,38,34,2 921,32.5,8,8,16,8,0,1,0,0,7.0,06.févr,6.0,12.févr,88,103,253,0.25,0.25,0.49,0.25,0.49,0.22,0.19,0.40,0.19,0.38
Paolo Bartolomei,it ITA,MF,Spezia,30,1989,6,3,320,03.juin,0,1,1,0,0,0,1,0,0.1,0.1,0.3,0.5,8,10,14,0.00,0.28,0.28,0.00,0.28,0.04,0.09,0.13,0.04,0.13
Daniele Baselli,it ITA,MF,Torino,28,1992,15,3,396,04.avr,0,0,0,0,0,0,2,0,0.3,0.3,0.7,1.0,7,25,9,0.00,0.00,0.00,0.00,0.00,0.06,0.16,0.22,0.06,0.22
Alessandro Bastoni,it ITA,DF,Inter,21,1999,33,33,2 922,32.5,0,3,3,0,0,0,6,0,1.0,1.0,01.mai,02.avr,70,146,60,0.00,0.09,0.09,0.00,0.09,0.03,0.04,0.08,0.03,0.08
Simone Bastoni,it ITA,DF,Spezia,23,1996,22,19,1 522,16.sept,1,7,8,1,0,0,7,0,01.févr,01.févr,03.janv,04.mars,51,85,78,0.06,0.41,0.47,0.06,0.47,0.07,0.18,0.26,0.07,0.26
Bastos,ao ANG,DF,Lazio,29,1991,2,0,63,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,3,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
