Player,Age,Nationality,Position,Market_Value,Previous_Club,Transfer_Fee,source_file,league,Club,csvPlayer,player_clean,transfer_year,season_before,season_after,league_clean,has_before,has_after,before_Player,before_Nation,before_Pos,before_Squad,before_Age,before_Born,before_MP,before_Starts,before_Min,before_90s,before_Gls,before_Ast,before_G+A,before_G-PK,before_PK,before_PKatt,before_CrdY,before_CrdR,before_xG,before_npxG,before_xAG,before_npxG+xAG,before_PrgC,before_PrgP,before_PrgR,before_season,before_league,before_Gls_per_90,before_Ast_per_90,before_GA_per_90,before_player_clean,before_fbref_season,before_fbref_league,after_Player,after_Nation,after_Pos,after_Squad,after_Age,after_Born,after_MP,after_Starts,after_Min,after_90s,after_Gls,after_Ast,after_G+A,after_G-PK,after_PK,after_PKatt,after_CrdY,after_CrdR,after_xG,after_npxG,after_xAG,after_npxG+xAG,after_PrgC,after_PrgP,after_PrgR,after_season,after_league,after_Gls_per_90,after_Ast_per_90,after_GA_per_90,after_player_clean,after_fbref_season,after_fbref_league
Álvaro Morata,27,Spain,Centre-Forward,36000000,Chelsea,35000000.0,La_Liga_2020.csv,La Liga,,,álvaro morata,2020,2019,2020,La Liga,True,False,Álvaro Morata,es ESP,FW,Atlético Madrid,26.0,1992.0,34.0,25.0,2098.0,0.0,12.0,2.0,14.0,10.0,2.0,3.0,6.0,1.0,16.0,0.0,0.0,0.0,49.0,27.0,139.0,2019-2020,La-Liga,0.0,0.0,0.0,álvaro morata,2019.0,La Liga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Óscar Rodríguez,22,Spain,Attacking Midfield,15000000,real Madrid,13500000.0,La_Liga_2020.csv,La Liga,,,óscar rodríguez,2020,2019,2020,La Liga,True,True,Óscar Rodríguez Arnaiz,es ESP,MF FW,Leganés,21.0,1998.0,30.0,22.0,1914.0,0.0,9.0,2.0,11.0,7.0,2.0,2.0,6.0,1.0,0.0,0.0,0.0,0.0,65.0,97.0,111.0,2019-2020,La-Liga,0.0,0.0,0.0,óscar rodríguez arnaiz,2019.0,La Liga,Óscar Rodríguez Arnaiz,es ESP,MF FW,Sevilla,22.0,1998.0,20.0,4.0,511.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.5,0.0,0.0,16.0,35.0,48.0,2020-2021,La-Liga,0.0,0.0,0.0,óscar rodríguez arnaiz,2020.0,La Liga
Luis Suárez,22,Colombia,Centre-Forward,7500000,Watford,10000000.0,La_Liga_2020.csv,La Liga,,,luis suárez,2020,2019,2020,La Liga,True,True,Luis Suárez,uy URU,FW,Barcelona,32.0,1987.0,28.0,22.0,1998.0,0.0,16.0,8.0,24.0,15.0,1.0,1.0,4.0,0.0,0.0,12.0,0.0,0.0,30.0,43.0,171.0,2019-2020,La-Liga,0.0,0.0,0.0,luis suárez,2019.0,La Liga,Luis Suárez,uy URU,FW,Atlético Madrid,33.0,1987.0,32.0,30.0,2508.0,0.0,21.0,3.0,24.0,18.0,3.0,3.0,6.0,0.0,0.0,0.0,3.0,0.0,30.0,46.0,171.0,2020-2021,La-Liga,0.0,0.0,0.0,luis suárez,2020.0,La Liga
Raúl Guti,23,Spain,Central Midfield,800000,Real Zaragoza,5000000.0,La_Liga_2020.csv,La Liga,,,raúl guti,2020,2019,2020,La Liga,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Raúl Guti,es ESP,MF,Elche,23.0,1996.0,36.0,33.0,2862.0,0.0,3.0,1.0,4.0,3.0,0.0,0.0,4.0,1.0,0.0,0.0,0.6,0.0,25.0,95.0,22.0,2020-2021,La-Liga,0.0,0.0,0.0,raúl guti,2020.0,La Liga
Edon Zhegrova,22,Kosovo,Right Winger,2000000,FC Basel,7000000.0,Ligue_1_2021.csv,Ligue 1,,,edon zhegrova,2021,2020,2021,Ligue 1,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Edon Zhegrova,xk KVX,MF  FW,Lille,22.0,1999.0,13.0,5.0,481.0,0.0,2.0,1.0,3.0,2.0,0.0,0.0,2.0,1.0,0.5,0.5,0.7,0.0,28.0,20.0,61.0,2021-2022,Ligue-1,0.0,0.0,0.0,edon zhegrova,2021.0,Ligue 1
Myron Boadu,20,Netherlands,Centre-Forward,14000000,AZ Alkmaar,17000000.0,Ligue_1_2021.csv,Ligue 1,,,myron boadu,2021,2020,2021,Ligue 1,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Myron Boadu,nl NED,FW,Monaco,20.0,2001.0,31.0,7.0,960.0,0.0,4.0,1.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,7.0,11.0,68.0,2021-2022,Ligue-1,0.0,0.0,0.0,myron boadu,2021.0,Ligue 1
Jean Lucas,23,Brazil,Central Midfield,4500000,Olympique Lyon,11000000.0,Ligue_1_2021.csv,Ligue 1,,,jean lucas,2021,2020,2021,Ligue 1,True,True,Jean Lucas,br BRA,MF,Lyon,22.0,1998.0,8.0,1.0,172.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.0,0.2,6.0,19.0,9.0,2020-2021,Ligue-1,0.0,0.0,0.0,jean lucas,2020.0,Ligue 1,Jean Lucas,br BRA,MF,Monaco,23.0,1998.0,28.0,18.0,1445.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,42.0,81.0,71.0,2021-2022,Ligue-1,0.0,0.0,0.0,jean lucas,2021.0,Ligue 1
Romain Faivre,23,France,Attacking Midfield,15000000,Stade Brestois 29,15000000.0,Ligue_1_2021.csv,Ligue 1,,,romain faivre,2021,2020,2021,Ligue 1,True,True,Romain Faivre,fr FRA,MFFW,Brest,22.0,1998.0,36.0,33.0,2891.0,32.1,6.0,5.0,11.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,141.0,171.0,166.0,2020-2021,Ligue-1,0.1869158878504672,0.1557632398753894,0.3426791277258567,romain faivre,2020.0,Ligue 1,Romain Faivre,fr FRA,FW  MF,Lyon,23.0,1998.0,14.0,9.0,889.0,0.0,3.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,84.0,72.0,2021-2022,Ligue-1,0.0,0.0,0.0,romain faivre,2021.0,Ligue 1
Kamaldeen Sulemana,19,Ghana,Left Winger,9000000,FC Nordsjaelland,17000000.0,Ligue_1_2021.csv,Ligue 1,,,kamaldeen sulemana,2021,2020,2021,Ligue 1,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kamaldeen Sulemana,gh GHA,MF  FW,Rennes,19.0,2002.0,20.0,11.0,1015.0,0.0,4.0,2.0,6.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,56.0,42.0,96.0,2021-2022,Ligue-1,0.0,0.0,0.0,kamaldeen sulemana,2021.0,Ligue 1
Gaëtan Laborde,27,France,Centre-Forward,15000000,Montpellier HSC,15000000.0,Ligue_1_2021.csv,Ligue 1,,,gaëtan laborde,2021,2020,2021,Ligue 1,True,True,Gaëtan Laborde,fr FRA,FWMF,Montpellier,26.0,1994.0,38.0,38.0,3256.0,36.2,16.0,8.0,24.0,16.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,81.0,70.0,238.0,2020-2021,Ligue-1,0.4419889502762431,0.2209944751381215,0.6629834254143646,gaëtan laborde,2020.0,Ligue 1,Gaëtan Laborde,fr FRA,FW,Montpellier,27.0,1994.0,4.0,4.0,341.0,0.0,3.0,0.0,3.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,0.0,7.0,7.0,25.0,2021-2022,Ligue-1,0.0,0.0,0.0,gaëtan laborde,2021.0,Ligue 1
