Player,Age,Nationality,Position,Market_Value,Previous_Club,Transfer_Fee,source_file,league,Club,csvPlayer,player_clean,transfer_year,season_before,season_after,league_clean,before_Player,before_Nation,before_Pos,before_Squad,before_Age,before_Born,before_MP,before_Starts,before_Min,before_90s,before_Gls,before_Ast,before_G+A,before_G-PK,before_PK,before_PKatt,before_CrdY,before_CrdR,before_xG,before_npxG,before_xAG,before_npxG+xAG,before_PrgC,before_PrgP,before_PrgR,before_season,before_league,before_Gls_per_90,before_Ast_per_90,before_GA_per_90,before_player_clean,before_fbref_season,before_fbref_league,after_Player,after_Nation,after_Pos,after_Squad,after_Age,after_Born,after_MP,after_Starts,after_Min,after_90s,after_Gls,after_Ast,after_G+A,after_G-PK,after_PK,after_PKatt,after_CrdY,after_CrdR,after_xG,after_npxG,after_xAG,after_npxG+xAG,after_PrgC,after_PrgP,after_PrgR,after_season,after_league,after_Gls_per_90,after_Ast_per_90,after_GA_per_90,after_player_clean,after_fbref_season,after_fbref_league
Óscar Rodríguez,22,Spain,Attacking Midfield,15000000,real Madrid,13500000.0,La_Liga_2020.csv,La Liga,,,óscar rodríguez,2020,2019,2020,La Liga,Óscar Rodríguez Arnaiz,es ESP,MF FW,Leganés,21,1998.0,30.0,22.0,1914,0.0,9.0,2.0,11.0,7.0,2.0,2.0,6.0,1.0,0.0,0.0,0.0,0.0,65.0,97.0,111.0,2019-2020,La-Liga,0.0,0.0,0.0,óscar rodríguez arnaiz,2019,La Liga,Óscar Rodríguez Arnaiz,es ESP,MF FW,Sevilla,22,1998.0,20.0,4.0,511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.5,0.0,0.0,16.0,35.0,48.0,2020-2021,La-Liga,0.0,0.0,0.0,óscar rodríguez arnaiz,2020,La Liga
Luis Suárez,22,Colombia,Centre-Forward,7500000,Watford,10000000.0,La_Liga_2020.csv,La Liga,,,luis suárez,2020,2019,2020,La Liga,Luis Suárez,uy URU,FW,Barcelona,32,1987.0,28.0,22.0,1998,0.0,16.0,8.0,24.0,15.0,1.0,1.0,4.0,0.0,0.0,12.0,0.0,0.0,30.0,43.0,171.0,2019-2020,La-Liga,0.0,0.0,0.0,luis suárez,2019,La Liga,Luis Suárez,uy URU,FW,Atlético Madrid,33,1987.0,32.0,30.0,2508,0.0,21.0,3.0,24.0,18.0,3.0,3.0,6.0,0.0,0.0,0.0,3.0,0.0,30.0,46.0,171.0,2020-2021,La-Liga,0.0,0.0,0.0,luis suárez,2020,La Liga
Jean Lucas,23,Brazil,Central Midfield,4500000,Olympique Lyon,11000000.0,Ligue_1_2021.csv,Ligue 1,,,jean lucas,2021,2020,2021,Ligue 1,Jean Lucas,br BRA,MF,Lyon,22,1998.0,8.0,1.0,172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.0,0.2,6.0,19.0,9.0,2020-2021,Ligue-1,0.0,0.0,0.0,jean lucas,2020,Ligue 1,Jean Lucas,br BRA,MF,Monaco,23,1998.0,28.0,18.0,1445,0.0,1.0,1.0,2.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,42.0,81.0,71.0,2021-2022,Ligue-1,0.0,0.0,0.0,jean lucas,2021,Ligue 1
Romain Faivre,23,France,Attacking Midfield,15000000,Stade Brestois 29,15000000.0,Ligue_1_2021.csv,Ligue 1,,,romain faivre,2021,2020,2021,Ligue 1,Romain Faivre,fr FRA,MFFW,Brest,22,1998.0,36.0,33.0,2891,32.1,6.0,5.0,11.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,141.0,171.0,166.0,2020-2021,Ligue-1,0.1869158878504672,0.1557632398753894,0.3426791277258567,romain faivre,2020,Ligue 1,Romain Faivre,fr FRA,FW  MF,Lyon,23,1998.0,14.0,9.0,889,0.0,3.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,84.0,72.0,2021-2022,Ligue-1,0.0,0.0,0.0,romain faivre,2021,Ligue 1
Gaëtan Laborde,27,France,Centre-Forward,15000000,Montpellier HSC,15000000.0,Ligue_1_2021.csv,Ligue 1,,,gaëtan laborde,2021,2020,2021,Ligue 1,Gaëtan Laborde,fr FRA,FWMF,Montpellier,26,1994.0,38.0,38.0,3256,36.2,16.0,8.0,24.0,16.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,81.0,70.0,238.0,2020-2021,Ligue-1,0.4419889502762431,0.2209944751381215,0.6629834254143646,gaëtan laborde,2020,Ligue 1,Gaëtan Laborde,fr FRA,FW,Montpellier,27,1994.0,4.0,4.0,341,0.0,3.0,0.0,3.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,0.0,7.0,7.0,25.0,2021-2022,Ligue-1,0.0,0.0,0.0,gaëtan laborde,2021,Ligue 1
Gaël Kakuta,30,DR Congo,Attacking Midfield,8000000,Amiens SC,5000000.0,Ligue_1_2021.csv,Ligue 1,,,gaël kakuta,2021,2020,2021,Ligue 1,Gaël Kakuta,cd COD,MFFW,Lens,29,1991.0,35.0,30.0,2394,0.0,11.0,5.0,16.0,4.0,7.0,9.0,3.0,0.0,0.0,4.0,0.0,0.0,48.0,147.0,123.0,2020-2021,Ligue-1,0.0,0.0,0.0,gaël kakuta,2020,Ligue 1,Gaël Kakuta,cd COD,MF  FW,Lens,30,1991.0,29.0,20.0,1673,0.0,3.0,2.0,5.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0,30.0,80.0,121.0,2021-2022,Ligue-1,0.0,0.0,0.0,gaël kakuta,2021,Ligue 1
Andy Delort,29,Algeria,Centre-Forward,16000000,Montpellier HSC,10000000.0,Ligue_1_2021.csv,Ligue 1,,,andy delort,2021,2020,2021,Ligue 1,Andy Delort,dz ALG,FW,Montpellier,28,1991.0,30.0,30.0,2482,0.0,15.0,9.0,24.0,15.0,0.0,1.0,4.0,0.0,0.0,12.0,0.0,0.0,49.0,69.0,210.0,2020-2021,Ligue-1,0.0,0.0,0.0,andy delort,2020,Ligue 1,Andy Delort,dz ALG,FW,Nice,29,1991.0,32.0,26.0,2448,0.0,16.0,2.0,18.0,13.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,24.0,54.0,188.0,2021-2022,Ligue-1,0.0,0.0,0.0,andy delort,2021,Ligue 1
Felix Nmecha,22,Germany,Central Midfield,15000000,VfL Wolfsburg,30000000.0,Bundesliga_2023.csv,Bundesliga,,,felix nmecha,2023,2022,2023,Bundesliga,Felix Nmecha,de GER,MF,Wolfsburg,21,2000.0,30.0,19.0,1836,0.0,3.0,5.0,8.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,23.0,86.0,54.0,2022-2023,Bundesliga,0.0,0.0,0.0,felix nmecha,2022,Bundesliga,Felix Nmecha,de GER,MF,Dortmund,22,2000.0,20.0,10.0,1021,0.0,1.0,2.0,3.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.9,0.0,19.0,45.0,28.0,2023-2024,Bundesliga,0.0,0.0,0.0,felix nmecha,2023,Bundesliga
Marcel Sabitzer,29,Austria,Central Midfield,20000000,Bayern Munich,19000000.0,Bundesliga_2023.csv,Bundesliga,,,marcel sabitzer,2023,2022,2023,Bundesliga,Marcel Sabitzer,at AUT,MF,Bayern Munich,28,1994.0,15.0,7.0,628,7.0,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.4,0.0,7.0,52.0,19.0,2022-2023,Bundesliga,0.1428571428571428,0.1428571428571428,0.2857142857142857,marcel sabitzer,2022,Bundesliga,Marcel Sabitzer,at AUT,MF,Dortmund,29,1994.0,25.0,23.0,1961,0.0,4.0,3.0,7.0,3.0,1.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,39.0,111.0,69.0,2023-2024,Bundesliga,0.0,0.0,0.0,marcel sabitzer,2023,Bundesliga
Niclas Füllkrug,30,Germany,Centre-Forward,13000000,SV Werder Bremen,17250000.0,Bundesliga_2023.csv,Bundesliga,,,niclas füllkrug,2023,2022,2023,Bundesliga,Niclas Füllkrug,de GER,FW,Werder Bremen,29,1993.0,28.0,28.0,2477,0.0,16.0,5.0,21.0,11.0,5.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,41.0,90.0,200.0,2022-2023,Bundesliga,0.0,0.0,0.0,niclas füllkrug,2022,Bundesliga,Niclas Füllkrug,de GER,FW,Werder Bremen,30,1993.0,2.0,2.0,180,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.3,0.7,2.0,9.0,12.0,2023-2024,Bundesliga,0.0,0.0,0.0,niclas füllkrug,2023,Bundesliga
