Player,Age,Nationality,Position,Market_Value,Previous_Club,Transfer_Fee,source_file,league,Club,csvPlayer,player_clean,transfer_year,season_before,season_after,league_clean
Metinho,18,DR Congo,Central Midfield,5000000,Fluminense,5000000.0,Ligue_1_2021.csv,Ligue 1,,,metinho,2021,2020,2021,Ligue 1
Vaclav Cerny,25,Czech Republic,Right Winger,8000000,Twente Enschede FC,8000000.0,Bundesliga_2023.csv,Bundesliga,,,vaclav cerny,2023,2022,2023,Bundesliga
Tomas Cvancara,22,Czech Republic,Centre-Forward,4000000,AC Sparta Prague,10500000.0,Bundesliga_2023.csv,Bundesliga,,,tomas cvancara,2023,2022,2023,Bundesliga
Odsonne Édouard,20,France,Centre-Forward,1500000,Celtic,10300000.0,Ligue_1_2018.csv,Ligue 1,,,odsonne édouard,2018,2017,2018,Ligue 1
Jordan,22,United States,Centre-Forward,2500000,Stade Reims,9000000.0,Ligue_1_2018.csv,Ligue 1,,,jordan,2018,2017,2018,Ligue 1
Lucas Tousart,22,France,Central Midfield,20000000,Olympique Lyon,25000000.0,Bundesliga_2019.csv,Bundesliga,Hertha BSC,,lucas tousart,2019,2018,2019,Bundesliga
Samu Aghehowa,19,Nigeria,Centre-Forward,200000,Granada CF,6000000.0,La_Liga_2023.csv,La Liga,,,samu aghehowa,2023,2022,2023,La Liga
Deniz Undav,25,Germany,Centre-Forward,5000000,Union SG,7000000.0,premier_league_2021.csv,Premier League,,,deniz undav,2021,2020,2021,Premier League
Julián Alvarez,22,Argentina,Centre-Forward,20000000,River Plate,21400000.0,premier_league_2021.csv,Premier League,,,julián alvarez,2021,2020,2021,Premier League
Pape Matar Sarr,18,Senegal,Central Midfield,10000000,FC Metz,16900000.0,premier_league_2021.csv,Premier League,,,pape matar sarr,2021,2020,2021,Premier League
Pedri,16,Spain,Central Midfield,0,UD Las Palmas,23000000.0,La_Liga_2019.csv,La Liga,,,pedri,2019,2018,2019,La Liga
Reinier,18,Brazil,Attacking Midfield,25000000,Flamengo,30000000.0,La_Liga_2019.csv,La Liga,,,reinier,2019,2018,2019,La Liga
Mohamed Bayo,24,Guinea,Centre-Forward,12000000,Clermont Foot 63,14000000.0,Ligue_1_2022.csv,Ligue 1,,,mohamed bayo,2022,2021,2022,Ligue 1
Joel Mvuka,20,Norway,Right Winger,1300000,FK Bodø/Glimt,5500000.0,Ligue_1_2022.csv,Ligue 1,,,joel mvuka,2022,2021,2022,Ligue 1
Savinho,18,Brazil,Left Winger,6000000,Atlético Mineiro,6500000.0,Ligue_1_2022.csv,Ligue 1,,,savinho,2022,2021,2022,Ligue 1
Frank Anguissa,26,Cameroon,Central Midfield,30000000,Fulham,16000000.0,Serie_A_2022.csv,Serie A,,,frank anguissa,2022,2021,2022,Serie A
Matheus Martins,19,Brazil,Left Winger,7000000,Fluminense,6000000.0,Serie_A_2022.csv,Serie A,,,matheus martins,2022,2021,2022,Serie A
Folarin Balogun,22,England,Centre-Forward,30000000,AS Monaco,30000000.0,premier_league_2023.csv,Premier League,,,folarin balogun,2023,2022,2023,Premier League
Claudio Echeverri,18,Argentina,Attacking Midfield,12000000,CA River Plate,18500000.0,premier_league_2023.csv,Premier League,,,claudio echeverri,2023,2022,2023,Premier League
Nikola Vlašić,25,Croatia,Attacking Midfield,17000000,West Ham United,10600000.0,premier_league_2023.csv,Premier League,,,nikola vlašić,2023,2022,2023,Premier League
Alexis Mac Allister,20,Argentina,Central Midfield,5000000,Argentinos Jrs.,8000000.0,premier_league_2018.csv,Premier League,,,alexis mac allister,2018,2017,2018,Premier League
Ally Samatta,27,Tanzania,Centre-Forward,12000000,Genk,10500000.0,premier_league_2019.csv,Premier League,,,ally samatta,2019,2018,2019,Premier League
Tino Kadewere,24,Zimbabwe,Centre-Forward,4000000,Le Havre AC,12000000.0,Ligue_1_2019.csv,Ligue 1,,,tino kadewere,2019,2018,2019,Ligue 1
Dominik Szoboszlai,20,Hungary,Attacking Midfield,25000000,Red Bull Salzburg,36000000.0,Bundesliga_2020.csv,Bundesliga,RB Leipzig,,dominik szoboszlai,2020,2019,2020,Bundesliga
Hee-chan Hwang,24,South Korea,Centre-Forward,10000000,Red Bull Salzburg,12000000.0,Bundesliga_2020.csv,Bundesliga,RB Leipzig,,hee-chan hwang,2020,2019,2020,Bundesliga
André Almeida,22,Portugal,Attacking Midfield,5000000,Vit. Guimarães,8000000.0,La_Liga_2022.csv,La Liga,,,andré almeida,2022,2021,2022,La Liga
Jesper Lindstrøm,23,Denmark,Right Winger,28000000,Frankfurt,30000000.0,Serie_A_2023.csv,Serie A,,,jesper lindstrøm,2023,2022,2023,Serie A
El Bilal Touré,21,Mali,Centre-Forward,12000000,UD Almería,30200000.0,Serie_A_2023.csv,Serie A,,,el bilal touré,2023,2022,2023,Serie A
Gianluca Scamacca,24,Italy,Centre-Forward,22000000,West Ham,28000000.0,Serie_A_2023.csv,Serie A,,,gianluca scamacca,2023,2022,2023,Serie A
Tijjani Reijnders,24,Netherlands,Central Midfield,14000000,AZ Alkmaar,24800000.0,Serie_A_2023.csv,Serie A,,,tijjani reijnders,2023,2022,2023,Serie A
Yunus Musah,20,USA,Central Midfield,18000000,Valencia,21200000.0,Serie_A_2023.csv,Serie A,,,yunus musah,2023,2022,2023,Serie A
Samuel Chukwueze,24,Nigeria,Right Winger,25000000,Villarreal,21100000.0,Serie_A_2023.csv,Serie A,,,samuel chukwueze,2023,2022,2023,Serie A
Christian Pulisic,24,USA,Right Winger,25000000,Chelsea,20800000.0,Serie_A_2023.csv,Serie A,,,christian pulisic,2023,2022,2023,Serie A
Ruben Loftus-Cheek,27,England,Central Midfield,25000000,Chelsea,18900000.0,Serie_A_2023.csv,Serie A,,,ruben loftus-cheek,2023,2022,2023,Serie A
Dan Ndoye,22,Switzerland,Right Winger,3500000,Basel,16450000.0,Serie_A_2023.csv,Serie A,,,dan ndoye,2023,2022,2023,Serie A
Mateo Retegui,24,Italy,Centre-Forward,16000000,Tigre,15250000.0,Serie_A_2023.csv,Serie A,,,mateo retegui,2023,2022,2023,Serie A
Taty Castellanos,24,Argentina,Centre-Forward,15000000,New York City,15000000.0,Serie_A_2023.csv,Serie A,,,taty castellanos,2023,2022,2023,Serie A
Noah Okafor,23,Switzerland,Left Winger,20000000,Salzburg,15500000.0,Serie_A_2023.csv,Serie A,,,noah okafor,2023,2022,2023,Serie A
Gustav Isaksen,22,Denmark,Right Winger,7500000,Midtjylland,13400000.0,Serie_A_2023.csv,Serie A,,,gustav isaksen,2023,2022,2023,Serie A
Santiago Castro,19,Argentina,Centre-Forward,7000000,Vélez Sarsfield,13200000.0,Serie_A_2023.csv,Serie A,,,santiago castro,2023,2022,2023,Serie A
Lucas Beltrán,22,Argentina,Attacking Midfield,12000000,River Plate,12600000.0,Serie_A_2023.csv,Serie A,,,lucas beltrán,2023,2022,2023,Serie A
Jesper Karlsson,25,Sweden,Left Winger,18000000,AZ Alkmaar,11150000.0,Serie_A_2023.csv,Serie A,,,jesper karlsson,2023,2022,2023,Serie A
Timothy Weah,23,USA,Right Winger,14000000,Lille,11000000.0,Serie_A_2023.csv,Serie A,,,timothy weah,2023,2022,2023,Serie A
Brenner,23,Brazil,Centre-Forward,8000000,Cincinnati,10000000.0,Serie_A_2023.csv,Serie A,,,brenner,2023,2022,2023,Serie A
Mitchel Bakker,23,Netherlands,Left Midfield,9000000,Leverkusen,8800000.0,Serie_A_2023.csv,Serie A,,,mitchel bakker,2023,2022,2023,Serie A
Nikola Krstović,23,Montenegro,Centre-Forward,2200000,Dunajska Streda,8150000.0,Serie_A_2023.csv,Serie A,,,nikola krstović,2023,2022,2023,Serie A
Tajon Buchanan,24,Canada,Right Winger,8000000,Club Brugge,7000000.0,Serie_A_2023.csv,Serie A,,,tajon buchanan,2023,2022,2023,Serie A
André Silva,21,Portugal,Centre-Forward,22000000,Porto,38000000.0,Serie_A_2017.csv,Serie A,,,andré silva,2017,2016,2017,Serie A
Hakan Çalhanoğlu,23,Turkey,Attacking Midfield,20000000,Leverkusen,23300000.0,Serie_A_2017.csv,Serie A,,,hakan çalhanoğlu,2017,2016,2017,Serie A
Blaise Matuidi,30,France,Central Midfield,30000000,PSG,25000000.0,Serie_A_2017.csv,Serie A,,,blaise matuidi,2017,2016,2017,Serie A
Rodrigo Bentancur,20,Uruguay,Central Midfield,6000000,Boca Juniors,23500000.0,Serie_A_2017.csv,Serie A,,,rodrigo bentancur,2017,2016,2017,Serie A
Cengiz Ünder,20,Turkey,Right Winger,5000000,Basaksehir,14250000.0,Serie_A_2017.csv,Serie A,,,cengiz ünder,2017,2016,2017,Serie A
Adam Ounas,20,Algeria,Right Winger,4000000,G. Bordeaux,12000000.0,Serie_A_2017.csv,Serie A,,,adam ounas,2017,2016,2017,Serie A
Davide Frattesi,17,Italy,Central Midfield,200000,Roma,14600000.0,Serie_A_2017.csv,Serie A,,,davide frattesi,2017,2016,2017,Serie A
Gastón Ramírez,26,Uruguay,Central Midfield,6000000,Middlesbrough,6300000.0,Serie_A_2017.csv,Serie A,,,gastón ramírez,2017,2016,2017,Serie A
Riad Bajić,23,Bosnia-Herzegovina,Centre-Forward,5000000,Konyaspor,5500000.0,Serie_A_2017.csv,Serie A,,,riad bajić,2017,2016,2017,Serie A
Yacine Adli,21,France,Attacking Midfield,9000000,G. Bordeaux,9000000.0,Serie_A_2021.csv,Serie A,,,yacine adli,2021,2020,2021,Serie A
Hamed Traoré,21,Ivory Coast,Left Winger,20000000,FC Empoli,16000000.0,Serie_A_2021.csv,Serie A,,,hamed traoré,2021,2020,2021,Serie A
Álvaro Morata,24,Spain,Centre-Forward,40000000,Real Madrid,66000000.0,premier_league_2017.csv,Premier League,,,álvaro morata,2017,2016,2017,Premier League
Bernardo Silva,22,Portugal,Attacking Midfield,40000000,Monaco,50000000.0,premier_league_2017.csv,Premier League,,,bernardo silva,2017,2016,2017,Premier League
Pierre-Emerick Aubameyang,28,Gabon,Centre-Forward,65000000,Dortmund,63750000.0,premier_league_2017.csv,Premier League,,,pierre-emerick aubameyang,2017,2016,2017,Premier League
Alexandre Lacazette,26,France,Centre-Forward,40000000,Lyon,53000000.0,premier_league_2017.csv,Premier League,,,alexandre lacazette,2017,2016,2017,Premier League
Cenk Tosun,26,Turkey,Centre-Forward,10500000,Beşiktaş,22500000.0,premier_league_2017.csv,Premier League,,,cenk tosun,2017,2016,2017,Premier League
Nikola Vlašić,19,Croatia,Attacking Midfield,4000000,Hajduk Split,10800000.0,premier_league_2017.csv,Premier League,,,nikola vlašić,2017,2016,2017,Premier League
Sandro Ramírez,21,Spain,Centre-Forward,10000000,Málaga CF,6000000.0,premier_league_2017.csv,Premier League,,,sandro ramírez,2017,2016,2017,Premier League
Guido Carrillo,26,Argentina,Centre-Forward,6000000,Monaco,22000000.0,premier_league_2017.csv,Premier League,,,guido carrillo,2017,2016,2017,Premier League
Yuning Zhang,20,China,Centre-Forward,700000, Vitesse,7200000.0,premier_league_2017.csv,Premier League,,,yuning zhang,2017,2016,2017,Premier League
Chicharito,29,Mexico,Centre-Forward,18000000,Leverkusen,17800000.0,premier_league_2017.csv,Premier League,,,chicharito,2017,2016,2017,Premier League
Jordan Hugill,25,England,Centre-Forward,3000000,Preston,10200000.0,premier_league_2017.csv,Premier League,,,jordan hugill,2017,2016,2017,Premier League
Adrien Silva,28,Portugal,Central Midfield,25000000,Sporting,20500000.0,premier_league_2017.csv,Premier League,,,adrien silva,2017,2016,2017,Premier League
Alexander Sørloth,22,Norway,Centre-Forward,2000000,Central Jutland,16000000.0,premier_league_2017.csv,Premier League,,,alexander sørloth,2017,2016,2017,Premier League
Roque Mesa,28,Spain,Central Midfield,12000000,UD Las Palmas,12500000.0,premier_league_2017.csv,Premier League,,,roque mesa,2017,2016,2017,Premier League
Chris Wood,25,New Zealand,Centre-Forward,6000000,Leeds,16400000.0,premier_league_2017.csv,Premier League,,,chris wood,2017,2016,2017,Premier League
Nahki Wells,27,Bermuda,Centre-Forward,5000000,Huddersfield,5400000.0,premier_league_2017.csv,Premier League,,,nahki wells,2017,2016,2017,Premier League
Richarlison,20,Brazil,Centre-Forward,2000000,Fluminense,12400000.0,premier_league_2017.csv,Premier League,,,richarlison,2017,2016,2017,Premier League
Will Hughes,22,England,Central Midfield,8000000,Derby,9100000.0,premier_league_2017.csv,Premier League,,,will hughes,2017,2016,2017,Premier League
Joselu,27,Spain,Centre-Forward,3500000,Stoke City,5500000.0,premier_league_2017.csv,Premier League,,,joselu,2017,2016,2017,Premier League
Jürgen Locadia,24,Netherlands,Centre-Forward,8500000,PSV,17000000.0,premier_league_2017.csv,Premier League,,,jürgen locadia,2017,2016,2017,Premier League
Davy Pröpper,25,Netherlands,Central Midfield,10000000,PSV,13000000.0,premier_league_2017.csv,Premier League,,,davy pröpper,2017,2016,2017,Premier League
Steve Mounié,22,Benin,Centre-Forward,5500000,Montpellier,13000000.0,premier_league_2017.csv,Premier League,,,steve mounié,2017,2016,2017,Premier League
Alex Pritchard,24,England,Attacking Midfield,5000000,Norwich,12350000.0,premier_league_2017.csv,Premier League,,,alex pritchard,2017,2016,2017,Premier League
Mariano Diaz,23,Dominican Republic,Centre-Forward,5000000,Real Madrid,8000000.0,Ligue_1_2017.csv,Ligue 1,,,mariano diaz,2017,2016,2017,Ligue 1
Rafik Guitane,18,Algeria,Right Winger,150000,Le Havre AC,8000000.0,Ligue_1_2017.csv,Ligue 1,,,rafik guitane,2017,2016,2017,Ligue 1
Nahuel Bustos,22,Argentina,Centre-Forward,6700000,CA Talleres,6500000.0,premier_league_2020.csv,Premier League,,,nahuel bustos,2020,2019,2020,Premier League
Kang-in Lee,22,South Korea,Right Winger,22000000,RCD Mallorca,22000000.0,Ligue_1_2023.csv,Ligue 1,,,kang-in lee,2023,2022,2023,Ligue 1
Douglas Augusto,26,Brazil,Central Midfield,4500000,PAOK,6800000.0,Ligue_1_2023.csv,Ligue 1,,,douglas augusto,2023,2022,2023,Ligue 1
