Player,Age,Nationality,Position,Market_Value,Previous_Club,Transfer_Fee,Club
Sadio Mané,30,Senegal,Left Winger,70000000,Liverpool,32000000,Bayern Munich
Mathys Tel,17,France,Centre-Forward,2000000,Stade Rennais,20000000,Bayern Munich
Sébastien Haller,28,Ivory Coast,Centre-Forward,35000000,Ajax,31000000,Borussia Dortmund
Karim Adeyemi,20,Germany,Right Winger,35000000,Red Bull Salzburg,30000000,Borussia Dortmund
Timo Werner,26,Germany,Left Winger,35000000,Chelsea,20000000,RB Leipzig
Adam Hložek,19,Czech Republic,Second Striker,20000000,Sparta Prague,13000000,Bayer Leverkusen
Ritsu Dōan,24,Japan,Right Winger,8000000,PSV Eindhoven,10400000,SC Freiburg
Jakub Kamiński,20,Poland,Left Winger,10000000,Lech Poznań,10000000,VfL Wolfsburg
Mattias Svanberg,23,Sweden,Central Midfield,15000000,Bologna,9500000,VfL Wolfsburg
Nathan Ngoumou,22,France,Right Winger,2500000,Toulouse,8000000,Borussia Mönchengladbach
Jens Petter Hauge,22,Norway,Left Winger,8000000,AC Milan,8200000,Eintracht Frankfurt
Lucas Alario,29,Argentina,Centre-Forward,8000000,Bayer Leverkusen,6000000,Eintracht Frankfurt
