Player,Age,Nationality,Position,Market_Value,Previous_Club,Transfer_Fee
Harry Kane,30,England,Centre-Forward,90000000,Tottenham Hotspur,95000000
Felix Nmecha,22,Germany,Central Midfield,15000000,VfL Wolfsburg,30000000
Marcel Sabitzer,29,Austria,Central Midfield,20000000,Bayern Munich,19000000
Niclas Füllkrug,30,Germany,Centre-Forward,13000000,SV Werder Bremen,17250000
Loïs Openda,23,Belgium,Centre-Forward,35000000,RC Lens,40000000
Benjamin Sesko,20,Slovenia,Centre-Forward,24000000,Red Bull Salzburg,31650000
Christoph Baumgartner,23,Austria,Attacking Midfield,24000000,TSG 1899 Hoffenheim,25500000
Eljif Elmas,24,North Macedonia,Attacking Midfield,24000000,SSC Napoli,24000000
Nicolas Seiwald,22,Austria,Central Midfield,20000000,Red Bull Salzburg,20000000
Nathan Tella,24,Nigeria,Right Winger,18000000,Southampton,23300000
Victor Boniface,22,Nigeria,Centre-Forward,12000000,Union Saint-Gilloise,22600000
Jonas Hofmann,30,Germany,Attacking Midfield,13000000,Borussia Mönchengladbach,10000000
Farès Chaïbi,20,Algeria,Attacking Midfield,10000000,FC Toulouse,10000000
Hugo Larsson,19,Sweden,Central Midfield,9000000,Malmö FF,9000000
Jean-Mattéo Bahoya,18,France,Left Winger,2500000,Angers SCO,8000000
Junior Dina Ebimbe,22,France,Right Midfield,10000000,Paris Saint-Germain,6500000
Ansgar Knauff,21,Germany,Right Winger,8000000,Borussia Dortmund,5000000
Lovro Majer,25,Croatia,Attacking Midfield,20000000,Stade Rennais FC,25000000
Tiago Tomás,21,Portugal,Centre-Forward,7000000,Sporting CP,8800000
Vaclav Cerny,25,Czech Republic,Right Winger,8000000,Twente Enschede FC,8000000
Tomas Cvancara,22,Czech Republic,Centre-Forward,4000000,AC Sparta Prague,10500000
Franck Honorat,26,France,Right Winger,10000000,Stade Brestois 29,8000000
Mergim Berisha,25,Germany,Centre-Forward,12000000,FC Augsburg,14000000
Serhou Guirassy,27,Guinea,Centre-Forward,14000000,Stade Rennais FC,9000000
  
