Player,Age,Nationality,Position,Market_Value,Previous_Club,Transfer_Fee
Ferran Torres,21,Spain,Centre-Forward,45000000,Man City,55000000
Rodrigo De Paul,27,Argentina,Central Midfield,38000000,Udinese,35000000
Matheus Cunha,22,Brazil,Second Striker,30000000,Hertha BSC,35000000
Eduardo Camavinga,18,France,Central Midfield,55000000,Stade Rennais,31000000
Arnaut Danjuma,24,Netherlands,Left Wing,15000000,Bournemouth,23500000
Rafa Mir,24,Spain,Centre-Forward,12000000,Wolves,16000000
Boulaye Dia,24,Senegal,Centre-Forward,14000000,Stade Reims,12000000
Marcos André,24,Brazil,Centre-Forward,3500000,Real Valladolid,8500000
Ante Budimir,29,Croatia,Centre-Forward,9000000,RCD Mallorca,8000000
Matías Arezo,19,Uruguay,Centre-Forward,7000000,River Plate,5700000
Jakub Jankto,25,Czech Republic,Left Midfield,11000000,Sampdoria,5160000
Myrto Uzuni,26,Albania,Left Wing,3500000,Ferencváros,5100000
Carles Aleñá,23,Spain,Central Midfield,15000000,Barcelona,5000000
Franco Cervi,27,Argentina,Left Wing,5000000,Benfica,5000000
