Player,Age,Nationality,Position,Market_Value,Previous_Club,Transfer_Fee 
Jérémy Doku,18,Belgium,Left Winger,9000000,RSC Anderlecht,26000000
Serhou Guirassy,24,Guinea,Centre-Forward,8000000,Amiens SC,15000000
Martin Terrier,23,France,Left Winger,10500000,Olympique Lyon,12000000
Jonathan David,20,Canada,Centre-Forward,25000000,KAA Gent,27000000
Amine Gouiri,20,Algeria,Centre-Forward,4000000,Olympique Lyon,7000000
Krépin Diatta,21,Senegal,Right Winger,18000000,Club Brugge,16700000
Kevin Volland,28,Germany,Attacking Midfield,28000000,Bayer Leverkusen,11000000
Lucas Paquetá,23,Brazil,Attacking Midfield,20000000,AC Milan,23000000
Karl Toko Ekambi,27,Cameroon,Centre-Forward,14000000,Villarreal,11500000
Stephy Mavididi,22,England,Left Winger,3600000,Juventus U23,6300000
Habib Diallo,25,Senegal,Centre-Forward,12000000,FC Metz,10000000
Adrian Grbic,23,Austria,Centre-Forward,2000000,Clermont Foot 63,9000000
Terem Moffi,21,Nigeria,Centre-Forward,3000000,KV Kortrijk,8000000
Seko Fofana,25,Cote d'Ivoire,Central Midfield,9500000,Udinese,8500000
Ignatius Ganago,21,Cameroon,Centre-Forward,3600000,OGC Nice,6000000
Mauro Icardi,27,Argentina,Centre-Forward,60000000,Inter Milan,50000000
Franck Honorat,23,France,Right Winger,1600000,Saint-Étienne,5000000
Moses Simon,24,Nigeria,Left Winger,6500000,Levante,5000000
