Player,Age,Nationality,Position,Market_Value,Previous_Club,Transfer_Fee
Charles De Ketelaere,21,Belgium,Attacking Midfield,30000000,Club Brugge,37500000
Junior Messias,31,Brazil,Right Winger,6000000,Crotone,6200000
Joaquín Correa,27,Argentina,Second Striker,23000000,Lazio,27300000
Frank Anguissa,26,Cameroon,Central Midfield,30000000,Fulham,16000000
Khvicha Kvaratskhelia,21,Georgia,Left Winger,15000000,Dinamo Batumi,13300000
Federico Chiesa,24,Italy,Right Winger,65000000,Fiorentina,44600000
Filip Kostić,29,Serbia,Left Midfield,24000000,Frankfurt,14700000
Marcos Antônio,22,Brazil,Central Midfield,8000000,Shakhtar D.,7500000
Mattia Zaccagni,27,Italy,Left Winger,18000000,Hellas Verona,7100000
Antonín Barák,28,Czech Republic,Attacking Midfield,12000000,Hellas Verona,7860000
Éderson,22,Brazil,Central Midfield,13000000,Salernitana,22900000
Jérémie Boga,25,Ivory Coast,Left Winger,19000000,Sassuolo,22000000
Rasmus Højlund,19,Denmark,Centre-Forward,4500000,Sturm Graz,21000000
Ademola Lookman,24,England,Second Striker,10000000,Leipzig,10850000
Giovanni Simeone,26,Argentina,Centre-Forward,17000000,Cagliari,10500000
Thomas Henry,27,France,Centre-Forward,5000000,Venice,5230000
Gianluca Caprari,28,Italy,Second Striker,10000000,Sampdoria,5000000
Agustín Álvarez,21,Uruguay,Centre-Forward,4000000,Peñarol,12000000
Kristian Thorstvedt,23,Norway,Attacking Midfield,5000000,Genk,10150000
Armand Laurienté,23,France,Left Winger,7000000,FC Lorient,10100000
Matheus Henrique,24,Brazil,Central Midfield,11000000,Grêmio,7000000
Janis Antiste,20,France,Centre-Forward,4000000,Spezia Calcio,5680000
Beto,24,Portugal,Centre-Forward,10000000,Portimonense,15000000
Matheus Martins,19,Brazil,Left Winger,7000000,Fluminense,6000000
Joshua Zirkzee,21,Netherlands,Centre-Forward,11000000,Bayern Munich,27500000
Federico Bonazzoli,25,Italy,Centre-Forward,5000000,Sampdoria,5000000
Giulio Maggiore,24,Italy,Central Midfield,8500000,Spezia Calcio,3500000
Mamadou Coulibaly,23,Senegal,Central Midfield,2500000,Udinese,3000000
Cyriel Dessers,27,Nigeria,Centre-Forward,6000000,Genk,6500000
Felix Afena-Gyan,19,Ghana,Left Winger,6000000,Roma,6000000
Andrea Colpani,23,Italy,Attacking Midfield,2400000,Atalanta,11000000
Michele Di Gregorio,24,Italy,Goalkeeper,3800000,Inter,6000000
