Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
David Abraham,ar ARG,DF,Eint Frankfurt,30,1986,30,30,2 584,28.juil,1,1,2,1,0,0,5,1,0.03,0.03,0.07,0.03,0.07
Amir Abrashi,al ALB,MF,Freiburg,26,1990,20,16,1 32,14.juil,1,0,1,1,0,0,3,0,0.07,0.00,0.07,0.07,0.07
René Adler,de GER,GK,Hamburger SV,31,1985,19,19,1 71,19.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
David Alaba,at AUT,DF MF,Bayern Munich,24,1992,32,29,2 506,27.août,4,4,8,4,0,0,1,0,0.14,0.14,0.29,0.14,0.29
Thiago Alcántara,es ESP,MF,Bayern Munich,25,1991,27,26,2 288,25.avr,6,5,11,6,0,0,4,0,0.24,0.20,0.43,0.24,0.43
Sami Allagui,tn TUN,FW MF,Hertha BSC,30,1986,12,0,181,2.0,1,0,1,0,1,1,2,0,0.50,0.00,0.50,0.00,0.00
Allan,br BRA,MF,Hertha BSC,19,1997,15,8,798,08.sept,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00
Xabi Alonso,es ESP,MF,Bayern Munich,34,1981,27,22,1 903,21.janv,3,2,5,3,0,0,6,0,0.14,0.09,0.24,0.14,0.24
Halil Altıntop,tr TUR,FW MF,Augsburg,33,1982,31,17,1 605,17.août,6,2,8,6,0,0,1,0,0.34,0.11,0.45,0.34,0.45
Hamit Altıntop,tr TUR,DF MF,Darmstadt 98,33,1982,16,15,1 362,15.janv,0,0,0,0,0,1,3,0,0.00,0.00,0.00,0.00,0.00
Nadiem Amiri,de GER,MF,Hoffenheim,19,1996,33,20,1 989,22.janv,2,4,6,2,0,0,2,0,0.09,0.18,0.27,0.09,0.27
Dennis Aogo,de GER,DF MF,Schalke 04,29,1987,7,3,290,03.févr,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
Charles Aránguiz,cl CHI,MF,Leverkusen,27,1989,26,22,1 815,20.févr,2,2,4,1,1,2,9,1,0.10,0.10,0.20,0.05,0.15
Maximilian Arnold,de GER,MF,Wolfsburg,22,1994,32,28,2 423,26.sept,2,3,5,2,0,0,9,0,0.07,0.11,0.19,0.07,0.19
Barış Atik,de GER,FW MF,Hoffenheim,21,1995,3,0,70,0.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Pierre-Emerick Aubameyang,ga GAB,FW MF,Dortmund,27,1989,32,31,2 779,30.sept,31,3,34,29,2,4,3,0,1.00,0.10,01.oct,0.94,01.avr
Donis Avdijaj,xk KVX,FW MF,Schalke 04,19,1996,9,2,298,03.mars,2,0,2,2,0,0,1,0,0.60,0.00,0.60,0.60,0.60
Florian Baak,de GER,DF,Hertha BSC,17,1999,2,0,15,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Holger Badstuber,de GER,DF,Bayern Munich,27,1989,1,0,29,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Holger Badstuber,de GER,DF,Schalke 04,27,1989,10,10,862,09.juin,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
Nabil Bahoui,se SWE,FW MF,Hamburger SV,25,1991,1,1,66,0.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Daniel Baier,de GER,MF,Augsburg,32,1984,27,27,2 393,26.juin,1,3,4,1,0,0,5,0,0.04,0.11,0.15,0.04,0.15
Leon Bailey,jm JAM,FW MF,Leverkusen,18,1997,8,0,140,01.juin,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
Leon Balogun,ng NGA,DF,Mainz 05,28,1988,17,13,1 023,11.avr,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00
Patrick Banggaard,dk DEN,DF,Darmstadt 98,22,1994,9,9,810,9.0,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00
Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
Philipp Bargfrede,de GER,MF,Werder Bremen,27,1989,11,4,455,05.janv,1,1,2,1,0,0,3,0,0.20,0.20,0.40,0.20,0.40
Aymen Barkok,ma MAR,MF,Eint Frankfurt,18,1998,18,6,659,07.mars,2,2,4,2,0,0,1,0,0.27,0.27,0.55,0.27,0.55
Fin Bartels,de GER,FW MF,Werder Bremen,29,1987,31,23,2 219,24.juil,8,6,14,8,0,0,4,0,0.32,0.24,0.57,0.32,0.57
Marc Bartra,es ESP,DF,Dortmund,25,1991,19,18,1 56,17.mars,0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00
Robert Bauer,de GER,DF MF,Werder Bremen,21,1995,27,25,2 122,23.juin,1,3,4,1,0,0,5,0,0.04,0.13,0.17,0.04,0.17
Oliver Baumann,de GER,GK,Hoffenheim,26,1990,34,34,3 06,34.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
Julian Baumgartlinger,at AUT,DF MF,Leverkusen,28,1988,22,19,1 561,17.mars,0,1,1,0,0,0,1,0,0.00,0.06,0.06,0.00,0.06
Riechedly Bazoer,cw CUW,DF MF,Wolfsburg,19,1996,12,12,969,10.août,0,1,1,0,0,0,5,0,0.00,0.09,0.09,0.00,0.09
Stefan Bell,de GER,DF,Mainz 05,24,1991,31,30,2 744,30.mai,5,1,6,5,0,0,11,1,0.16,0.03,0.20,0.16,0.20
Karim Bellarabi,de GER,FW MF,Leverkusen,26,1990,16,14,1 113,12.avr,2,5,7,2,0,0,4,0,0.16,0.40,0.57,0.16,0.57
Änis Ben-Hatira,tn TUN,MF,Darmstadt 98,28,1988,11,8,586,06.mai,1,0,1,1,0,0,3,0,0.15,0.00,0.15,0.15,0.15
Diego Benaglio,ch SUI,GK,Wolfsburg,32,1983,14,14,1 26,14.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
Lars Bender,de GER,DF MF,Leverkusen,27,1989,9,9,602,06.juil,0,1,1,0,0,0,4,0,0.00,0.15,0.15,0.00,0.15
Sven Bender,de GER,DF MF,Dortmund,27,1989,6,3,272,3.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
László Bénes,sk SVK,MF,Gladbach,18,1997,8,3,288,03.févr,1,0,1,1,0,0,0,0,0.31,0.00,0.31,0.31,0.31
Nabil Bentaleb,dz ALG,MF,Schalke 04,21,1994,32,28,2 548,28.mars,5,4,9,4,1,1,12,0,0.18,0.14,0.32,0.14,0.28
Bernardo,br BRA,DF,RB Leipzig,21,1995,22,21,1 892,21.0,0,1,1,0,0,0,3,0,0.00,0.05,0.05,0.00,0.05
Juan Bernat,es ESP,DF FW,Bayern Munich,23,1993,18,13,1 238,13.août,2,2,4,2,0,0,1,0,0.15,0.15,0.29,0.15,0.29
Max Besuschkow,de GER,MF,Eint Frankfurt,19,1997,3,1,87,1.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
Roman Bezjak,si SVN,FW,Darmstadt 98,27,1989,11,7,588,06.mai,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Ermin Bičakčić,ba BIH,DF,Hoffenheim,26,1990,18,11,1 055,11.juil,1,0,1,1,0,0,4,0,0.09,0.00,0.09,0.09,0.09
Leonardo Bittencourt,de GER,FW MF,Köln,22,1993,16,12,968,10.août,3,5,8,3,0,0,3,0,0.28,0.46,0.74,0.28,0.74
Pablo de Blasis,ar ARG,FW MF,Mainz 05,28,1988,31,17,1 661,18.mai,5,3,8,4,1,1,5,0,0.27,0.16,0.43,0.22,0.38
Danny Blum,de GER,FW MF,Eint Frankfurt,25,1991,14,3,460,05.janv,1,1,2,1,0,0,0,0,0.20,0.20,0.39,0.20,0.39
Jérôme Boateng,de GER,DF,Bayern Munich,27,1988,13,10,827,09.févr,0,1,1,0,0,0,1,0,0.00,0.11,0.11,0.00,0.11
Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
Raúl Bobadilla,py PAR,FW,Augsburg,29,1987,18,13,1 044,11.juin,4,1,5,4,0,0,1,0,0.34,0.09,0.43,0.34,0.43
Mounir Bouziane,fr FRA,FW MF,Mainz 05,25,1991,1,0,14,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Terrence Boyd,us USA,FW,Darmstadt 98,25,1991,7,5,375,04.févr,1,0,1,1,0,0,1,0,0.24,0.00,0.24,0.24,0.24
Julian Brandt,de GER,FW MF,Leverkusen,20,1996,32,25,2 299,25.mai,3,7,10,3,0,0,0,0,0.12,0.27,0.39,0.12,0.39
Romain Brégerie,fr FRA,DF,Ingolstadt 04,29,1986,17,17,1 527,17.0,3,0,3,3,0,0,3,1,0.18,0.00,0.18,0.18,0.18
Josip Brekalo,hr CRO,FW MF,Wolfsburg,18,1998,4,0,80,0.9,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
John Brooks,us USA,DF,Hertha BSC,23,1993,24,24,2 115,23.mai,2,0,2,2,0,0,5,0,0.09,0.00,0.09,0.09,0.09
Daniel Brosinski,de GER,DF MF,Mainz 05,28,1988,29,27,2 454,27.mars,1,2,3,0,1,1,6,0,0.04,0.07,0.11,0.00,0.07
Jeffrey Bruma,nl NED,DF,Wolfsburg,24,1991,20,20,1 717,19.janv,1,0,1,1,0,0,6,1,0.05,0.00,0.05,0.05,0.05
Massimo Bruno,be BEL,FW MF,RB Leipzig,22,1993,1,0,5,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Onur Bulut,tr TUR,DF MF,Freiburg,22,1994,21,12,1 002,11.janv,0,1,1,0,0,0,3,0,0.00,0.09,0.09,0.00,0.09
Niko Bungert,de GER,DF,Mainz 05,29,1986,10,9,755,08.avr,1,0,1,1,0,0,1,0,0.12,0.00,0.12,0.12,0.12
Guido Burgstaller,at AUT,FW MF,Schalke 04,27,1989,18,17,1 461,16.févr,9,2,11,9,0,1,1,0,0.55,0.12,0.68,0.55,0.68
Oliver Burke,sct SCO,FW MF,RB Leipzig,19,1997,25,5,632,7.0,1,2,3,1,0,0,1,0,0.14,0.28,0.43,0.14,0.43
Roman Bürki,ch SUI,GK,Dortmund,25,1990,27,27,2 43,27.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00
Dženis Burnić,ba BIH,MF,Dortmund,18,1998,1,1,90,1.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
Gaëtan Bussmann,fr FRA,DF,Mainz 05,25,1991,14,12,1 049,11.juil,0,2,2,0,0,0,1,1,0.00,0.17,0.17,0.00,0.17
Jakub Błaszczykowski,pl POL,MF,Wolfsburg,30,1985,28,20,1 689,18.août,0,1,1,0,0,0,2,0,0.00,0.05,0.05,0.00,0.05
Júnior Caiçara,br BRA,DF,Schalke 04,27,1989,3,1,109,01.févr,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
Caiuby,br BRA,FW MF,Augsburg,28,1988,5,2,248,02.août,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
Luca Caldirola,it ITA,DF,Werder Bremen,25,1991,5,5,412,04.juin,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
Hakan Çalhanoğlu,tr TUR,FW MF,Leverkusen,22,1994,15,14,1 215,13.mai,6,5,11,5,1,2,1,0,0.44,0.37,0.81,0.37,0.74
Daniel Caligiuri,it ITA,DF FW,Wolfsburg,28,1988,16,13,1 105,12.mars,2,1,3,2,0,0,2,0,0.16,0.08,0.24,0.16,0.24
Daniel Caligiuri,it ITA,DF FW,Schalke 04,28,1988,16,14,1 104,12.mars,2,3,5,2,0,0,0,0,0.16,0.24,0.41,0.16,0.41
Jan-Ingwer Callsen-Bracker,de GER,DF,Augsburg,31,1984,1,0,3,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
