Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
David Abraham,ar ARG,DF,Eint Frankfurt,34,1986,14,14,1 222,13.juin,1,0,1,1,0,0,5,1,0.6,0.6,0.4,1.0,12,55,21,0.07,0.00,0.07,0.07,0.07,0.04,0.03,0.07,0.04,0.07
Amir Abrashi,al ALB,MF DF,Freiburg,30,1990,5,0,60,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Ragnar Ache,de GER,FW DF,Eint Frankfurt,22,1998,7,0,100,01.janv,1,0,1,1,0,0,1,0,0.1,0.1,0.0,0.1,3,3,12,0.90,0.00,0.90,0.90,0.90,0.13,0.00,0.13,0.13,0.13
Tyler Adams,us USA,MF DF,RB Leipzig,21,1999,27,21,1 85,20.juin,1,1,2,1,0,0,3,0,01.mars,01.mars,0.9,02.févr,27,113,70,0.05,0.05,0.10,0.05,0.10,0.07,0.04,0.11,0.07,0.11
Sargis Adamyan,am ARM,FW MF,Hoffenheim,27,1993,18,3,479,05.mars,2,3,5,2,0,0,2,0,02.janv,02.janv,02.mars,04.mai,20,17,58,0.38,0.56,0.94,0.38,0.94,0.40,0.44,0.84,0.40,0.84
Felix Agu,ng NGA,DF,Werder Bremen,20,1999,15,8,701,07.août,1,0,1,1,0,0,0,0,0.6,0.6,0.5,01.janv,7,9,33,0.13,0.00,0.13,0.13,0.13,0.08,0.06,0.14,0.08,0.14
Naouirou Ahamada,fr FRA,MF,Stuttgart,18,2002,6,3,252,02.août,0,0,0,0,0,0,2,1,0.2,0.2,0.0,0.3,8,11,3,0.00,0.00,0.00,0.00,0.00,0.08,0.01,0.09,0.08,0.09
Manuel Akanji,ch SUI,DF,Dortmund,25,1995,28,26,2 35,26.janv,2,0,2,2,0,0,4,0,01.juil,01.juil,0.3,2.0,26,159,7,0.08,0.00,0.08,0.08,0.08,0.06,0.01,0.08,0.06,0.08
Kevin Akpoguma,ng NGA,DF,Hoffenheim,25,1995,16,14,1 184,13.févr,1,0,1,1,0,0,1,0,0.1,0.1,0.4,0.5,10,56,14,0.08,0.00,0.08,0.08,0.08,0.01,0.03,0.04,0.01,0.04
David Alaba,at AUT,DF MF,Bayern Munich,28,1992,32,30,2 675,29.juil,2,4,6,2,0,0,4,0,01.févr,01.févr,02.janv,03.mars,56,242,70,0.07,0.13,0.20,0.07,0.20,0.04,0.07,0.11,0.04,0.11
Lucas Alario,ar ARG,FW,Leverkusen,27,1992,25,12,1 245,13.août,11,2,13,9,2,2,2,0,07.févr,05.juil,0.9,06.juin,7,21,75,0.80,0.14,0.94,0.65,0.80,0.52,0.07,0.59,0.41,0.48
