Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
Aymen Abdennour,tn TUN,DF,Valencia,26,1989,13,9,879,09.août,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00
Antonio Adán,es ESP,GK,Betis,29,1987,37,37,3 33,37.0,0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00
Aritz Aduriz,es ESP,FW,Athletic Club,35,1981,32,27,2 458,27.mars,16,1,17,11,5,5,8,1,0.59,0.04,0.62,0.40,0.44
Akram Afif,qa QAT,FW MF,Sporting Gijón,19,1996,9,2,234,02.juin,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00
Rachid Aït-Atmane,dz ALG,MF,Sporting Gijón,23,1993,8,6,492,05.mai,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00
Javi Álamo,es ESP,FW MF,Osasuna,27,1988,2,0,13,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Jordi Alba,es ESP,DF MF,Barcelona,27,1989,26,21,1 968,21.sept,1,6,7,1,0,0,4,0,0.05,0.27,0.32,0.05,0.32
Raúl Albentosa,es ESP,DF,La Coruña,27,1988,27,26,2 335,25.sept,1,1,2,1,0,0,10,1,0.04,0.04,0.08,0.04,0.08
Paco Alcácer,es ESP,FW,Barcelona,22,1993,20,6,858,09.mai,6,3,9,6,0,0,1,0,0.63,0.31,0.94,0.63,0.94
Paco Alcácer,es ESP,FW,Valencia,22,1993,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Álex Alegría,es ESP,FW,Betis,23,1992,25,15,1 438,16.0,3,2,5,3,0,0,2,0,0.19,0.13,0.31,0.19,0.31
Carles Aleñá,es ESP,MF,Barcelona,18,1998,3,0,43,0.5,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
Alexander,ar ARG,MF,Leganés,27,1988,28,24,2 031,22.juin,8,2,10,7,1,2,1,0,0.35,0.09,0.44,0.31,0.40
Alexis,es ESP,DF,Alavés,30,1985,24,19,1 819,20.févr,2,1,3,2,0,0,10,1,0.10,0.05,0.15,0.10,0.15
Sergio Álvarez,es ESP,DF MF,Sporting Gijón,24,1992,36,34,3 003,33.4,2,1,3,2,0,0,9,0,0.06,0.03,0.09,0.06,0.09
Sergio Álvarez,es ESP,GK,Celta Vigo,29,1986,26,26,2 34,26.0,0,1,1,0,0,0,0,1,0.00,0.04,0.04,0.00,0.04
Víctor Álvarez,es ESP,DF MF,Espanyol,23,1993,4,2,204,02.mars,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00
Yeray Álvarez,es ESP,DF,Athletic Club,21,1995,26,25,2 271,25.févr,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00
Diego Alves,br BRA,GK,Valencia,31,1985,33,33,2 97,33.0,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00
Fernando Amorebieta,ve VEN,DF,Sporting Gijón,31,1985,27,26,2 218,24.juin,0,1,1,0,0,0,17,0,0.00,0.04,0.04,0.00,0.04
Jon Ander Serantes,es ESP,GK,Leganés,26,1989,13,13,1 109,12.mars,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00
Florin Andone,ro ROU,FW,La Coruña,23,1993,37,32,2 893,32.1,12,2,14,12,0,0,6,0,0.37,0.06,0.44,0.37,0.44
Victorien Angban,ci CIV,MF,Granada,19,1996,10,8,682,07.juin,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00
Miguel Ángel Guerrero,es ESP,FW MF,Leganés,26,1990,31,25,2 139,23.août,5,1,6,4,1,1,3,0,0.21,0.04,0.25,0.17,0.21
José Ángel,es ESP,DF MF,Villarreal,26,1989,7,7,630,7.0,0,1,1,0,0,0,2,0,0.00,0.14,0.14,0.00,0.14
Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
Miguel Ángel Moyá,es ESP,GK,Atlético Madrid,32,1984,9,8,770,08.juin,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
José Antonio Reyes,es ESP,MF,Espanyol,32,1983,21,10,869,09.juil,3,4,7,2,1,1,1,0,0.31,0.41,0.72,0.21,0.62
Sergio Araujo,ar ARG,FW MF,Las Palmas,24,1992,11,5,533,05.sept,2,1,3,2,0,0,2,0,0.34,0.17,0.51,0.34,0.51
Anaitz Arbilla,es ESP,DF,Eibar,29,1987,22,17,1 574,17.mai,0,2,2,0,0,0,5,0,0.00,0.11,0.11,0.00,0.11
Markel Areitio,es ESP,GK,Eibar,19,1996,1,0,46,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Alejandro Arribas,es ESP,DF,La Coruña,27,1989,23,20,1 91,21.févr,0,0,0,0,0,0,7,0,0.00,0.00,0.00,0.00,0.00
Kepa Arrizabalaga,es ESP,GK,Athletic Club,21,1994,23,23,2 015,22.avr,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
Aythami Artiles,es ESP,DF,Las Palmas,30,1986,11,8,835,09.mars,0,0,0,0,0,0,5,1,0.00,0.00,0.00,0.00,0.00
Sergio Asenjo,es ESP,GK,Villarreal,27,1989,24,24,2 104,23.avr,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Marco Asensio,es ESP,FW MF,Real Madrid,20,1996,23,11,1 082,12.0,3,2,5,3,0,0,0,0,0.25,0.17,0.42,0.25,0.42
Iago Aspas,es ESP,FW MF,Celta Vigo,28,1987,32,25,2 315,25.juil,19,3,22,13,6,6,9,1,0.74,0.12,0.86,0.51,0.62
Omer Atzili,il ISR,FW MF,Granada,23,1993,9,3,317,03.mai,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Ryan Babel,nl NED,FW MF,La Coruña,29,1986,11,5,562,06.févr,4,1,5,4,0,1,3,0,0.64,0.16,0.80,0.64,0.80
Jean-Sylvain Babin,mq MTQ,DF,Sporting Gijón,29,1986,22,20,1 713,19.0,1,1,2,1,0,0,2,0,0.05,0.05,0.11,0.05,0.11
Cédric Bakambu,cd COD,FW,Villarreal,25,1991,26,17,1 567,17.avr,11,1,12,11,0,0,5,0,0.63,0.06,0.69,0.63,0.69
Zakaria Bakkali,be BEL,FW MF,Valencia,20,1996,18,1,288,03.févr,1,0,1,1,0,0,2,0,0.31,0.00,0.31,0.31,0.31
Gareth Bale,wls WAL,FW MF,Real Madrid,27,1989,19,17,1 418,15.août,7,2,9,7,0,0,3,1,0.44,0.13,0.57,0.44,0.57
Mikel Balenziaga,es ESP,DF,Athletic Club,28,1988,33,33,2 847,31.6,1,1,2,1,0,0,3,1,0.03,0.03,0.06,0.03,0.06
Léo Baptistão,br BRA,FW MF,Espanyol,23,1992,21,16,1 424,15.août,6,5,11,6,0,0,1,0,0.38,0.32,0.70,0.38,0.70
Kike Barja,es ESP,FW MF,Osasuna,19,1997,1,0,17,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
David Barral,es ESP,FW,Granada,33,1983,8,2,316,03.mai,0,1,1,0,0,0,1,0,0.00,0.28,0.28,0.00,0.28
Diego Barrios,es ESP,GK,Leganés,22,1994,1,0,62,0.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Jon Bautista,es ESP,FW,Real Sociedad,21,1995,12,2,312,03.mai,3,0,3,3,0,0,0,0,0.87,0.00,0.87,0.87,0.87
Claudio Beauvue,gp GLP,FW MF,Celta Vigo,28,1988,13,5,658,07.mars,1,2,3,1,0,0,1,0,0.14,0.27,0.41,0.14,0.41
