Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
Aly Abeid,mr MTN,DF,Levante,19,1997,1,1,77,0.9,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,2,1,3,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.08,0.00,0.08
Antonio Adán,es ESP,GK,Betis,30,1987,30,30,2 7,30.0,0,2,2,0,0,0,4,0,0.0,0.0,0.7,0.7,0,0,0,0.00,0.07,0.07,0.00,0.07,0.00,0.02,0.02,0.00,0.02
Aday,es ESP,DF,Girona,29,1987,31,20,1 835,20.avr,2,0,2,1,1,2,10,0,02.août,01.mars,01.juin,02.sept,82,61,156,0.10,0.00,0.10,0.05,0.05,0.14,0.08,0.22,0.06,0.14
Aritz Aduriz,es ESP,FW,Athletic Club,36,1981,33,21,2 152,23.sept,9,1,10,6,3,5,5,0,11.janv,07.juin,01.mai,9.0,27,45,150,0.38,0.04,0.42,0.25,0.29,0.47,0.06,0.53,0.32,0.38
Martin Agirregabiria,es ESP,DF,Alavés,21,1996,21,20,1 828,20.mars,0,4,4,0,0,0,4,0,0.1,0.1,01.mai,01.juin,24,48,54,0.00,0.20,0.20,0.00,0.20,0.00,0.08,0.08,0.00,0.08
Imanol Agirretxe,es ESP,FW,Real Sociedad,30,1987,11,2,232,02.juin,0,0,0,0,0,0,0,0,01.févr,01.févr,0.0,01.févr,1,5,8,0.00,0.00,0.00,0.00,0.00,0.45,0.00,0.45,0.45,0.45
Matías Aguirregaray,uy URU,DF,Las Palmas,28,1989,15,14,1 153,12.août,0,0,0,0,0,0,3,0,0.6,0.6,0.6,01.févr,23,57,49,0.00,0.00,0.00,0.00,0.00,0.05,0.05,0.10,0.05,0.10
Ager Aketxe,es ESP,MF,Athletic Club,23,1993,3,0,37,0.4,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,1,6,3,0.00,0.00,0.00,0.00,0.00,0.15,0.00,0.15,0.15,0.15
David Alba,es ESP,DF,Getafe,18,1999,1,1,61,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Jordi Alba,es ESP,DF,Barcelona,28,1989,33,30,2 744,30.mai,2,8,10,2,0,0,7,0,02.janv,02.janv,06.janv,08.mars,58,135,314,0.07,0.26,0.33,0.07,0.33,0.07,0.20,0.27,0.07,0.27
Raúl Albentosa,es ESP,DF,La Coruña,28,1988,20,19,1 748,19.avr,1,0,1,1,0,0,5,0,01.mai,01.mai,0.2,01.juin,1,27,5,0.05,0.00,0.05,0.05,0.05,0.08,0.01,0.08,0.08,0.08
Paco Alcácer,es ESP,MF FW,Barcelona,23,1993,17,8,695,07.juil,4,3,7,4,0,0,0,0,03.sept,03.sept,02.janv,6.0,6,13,42,0.52,0.39,0.91,0.52,0.91,0.51,0.27,0.78,0.51,0.78
Pedro Alcalá,es ESP,DF,Girona,28,1989,8,8,689,07.juil,1,0,1,1,0,0,4,0,1.0,1.0,0.2,01.févr,3,24,0,0.13,0.00,0.13,0.13,0.13,0.13,0.03,0.16,0.13,0.16
Steve Aldo One,cm CMR,DF,La Coruña,22,1995,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Álex Alegría,es ESP,FW,Levante,24,1992,9,8,628,7.0,0,0,0,0,0,0,1,0,01.janv,01.janv,0.2,01.mars,2,8,29,0.00,0.00,0.00,0.00,0.00,0.16,0.03,0.19,0.16,0.19
Iván Alejo,es ESP,MF FW,Eibar,22,1995,22,14,1 102,12.févr,1,3,4,1,0,0,5,0,0.5,0.5,02.janv,02.juin,71,20,125,0.08,0.25,0.33,0.08,0.33,0.04,0.17,0.21,0.04,0.21
Alexander,ar ARG,MF FW,Leganés,28,1988,13,13,1 06,11.août,2,2,4,1,1,1,1,0,02.févr,01.avr,02.mai,03.sept,17,26,72,0.17,0.17,0.34,0.08,0.25,0.19,0.21,0.40,0.12,0.33
Alexis,es ESP,DF,Alavés,31,1985,28,25,2 184,24.mars,1,0,1,1,0,0,6,0,01.févr,01.févr,0.3,01.mai,5,34,11,0.04,0.00,0.04,0.04,0.04,0.05,0.01,0.06,0.05,0.06
José Alonso Lara,es ESP,MF,Sevilla,17,2000,1,0,10,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Sergio Álvarez,es ESP,GK,Celta Vigo,30,1986,17,16,1 476,16.avr,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Yeray Álvarez,es ESP,DF,Athletic Club,22,1995,8,7,675,07.mai,0,0,0,0,0,0,2,0,0.1,0.1,0.1,0.2,10,41,1,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.01,0.02
Eloi Amagat,es ESP,MF,Girona,32,1985,2,0,15,0.2,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,0,3,0,0.00,0.00,0.00,0.00,0.00,janv.20,0.00,janv.20,janv.20,janv.20
Jordi Amat,id IDN,DF MF,Betis,25,1992,25,24,2 045,22.juil,0,0,0,0,0,0,7,2,0.4,0.4,0.1,0.5,13,101,5,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02
Amath,sn SEN,MF FW,Getafe,21,1996,37,36,2 859,31.août,3,3,6,3,0,0,9,0,04.avr,04.avr,02.juil,07.févr,66,66,158,0.09,0.09,0.19,0.09,0.19,0.14,0.09,0.23,0.14,0.23
Nordin Amrabat,ma MAR,FW MF,Leganés,30,1987,30,17,1 623,18.0,2,4,6,2,0,0,6,1,03.juil,03.juil,03.févr,06.sept,87,50,146,0.11,0.22,0.33,0.11,0.33,0.20,0.18,0.38,0.20,0.38
Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
Jon Ander Serantes,es ESP,GK,Leganés,27,1989,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Florin Andone,ro ROU,FW,La Coruña,24,1993,29,16,1 636,18.févr,7,3,10,7,0,1,6,0,11.avr,10.juin,0.9,11.mai,41,11,144,0.39,0.17,0.55,0.39,0.55,0.63,0.05,0.68,0.58,0.63
Miguel Ángel Guerrero,es ESP,FW,Leganés,27,1990,22,15,1 442,16.0,4,3,7,4,0,1,3,0,05.juil,04.sept,01.mai,06.avr,16,18,87,0.25,0.19,0.44,0.25,0.44,0.35,0.09,0.45,0.31,0.40
