Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
Yunis Abdelhamid,ma MAR,DF,Reims,34,1987,37,37,3 33,37.0,1,2,3,1,0,0,6,0,02.avr,02.avr,1.0,03.avr,40,215,10,0.03,0.05,0.08,0.03,0.08,0.06,0.03,0.09,0.06,0.09
Himad Abdelli,dz ALG,MF FW,Angers,22,1999,30,24,2 137,23.juil,2,2,4,2,0,0,3,0,01.avr,01.avr,02.sept,04.mars,58,151,111,0.08,0.08,0.17,0.08,0.17,0.06,0.12,0.18,0.06,0.18
Salis Abdul Samed,gh GHA,MF,Lens,22,2000,33,33,2 894,32.2,1,1,2,1,0,0,6,1,0.9,0.9,01.juin,02.mai,33,165,44,0.03,0.03,0.06,0.03,0.06,0.03,0.05,0.08,0.03,0.08
Laurent Abergel,fr FRA,MF,Lorient,29,1993,29,28,2 342,26.0,0,1,1,0,0,0,7,1,0.5,0.5,01.mars,01.août,13,143,14,0.00,0.04,0.04,0.00,0.04,0.02,0.05,0.07,0.02,0.07
Matthis Abline,fr FRA,FW MF,Auxerre,19,2003,19,8,806,9.0,2,1,3,1,1,2,1,0,03.juin,2.0,0.7,02.juil,14,8,49,0.22,0.11,0.33,0.11,0.22,0.40,0.08,0.47,0.22,0.30
Matthis Abline,fr FRA,FW MF,Rennes,19,2003,11,0,107,01.févr,1,0,1,1,0,0,0,0,0.8,0.8,0.3,1.0,4,2,11,0.84,0.00,0.84,0.84,0.84,0.65,0.22,0.87,0.65,0.87
Zakaria Aboukhlal,ma MAR,FW MF,Toulouse,22,2000,37,28,2 473,27.mai,10,5,15,10,0,0,4,0,11.mai,11.mai,03.mars,14.juil,100,72,276,0.36,0.18,0.55,0.36,0.55,0.42,0.12,0.54,0.42,0.54
Mohamed Achi,fr FRA,FW,Nantes,20,2002,2,0,36,0.4,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.2,2,3,1,0.00,0.00,0.00,0.00,0.00,0.30,0.08,0.39,0.30,0.39
Martin Adeline,fr FRA,MF FW,Reims,18,2003,5,0,107,01.févr,0,0,0,0,0,0,2,0,0.1,0.1,0.0,0.1,1,3,1,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.06,0.06,0.06
Emmanuel Agbadou,ci CIV,DF,Reims,25,1997,29,27,2 388,26.mai,0,3,3,0,0,0,5,3,01.juil,01.juil,02.avr,04.janv,15,131,8,0.00,0.11,0.11,0.00,0.11,0.06,0.09,0.15,0.06,0.15
