Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
Patrick van Aanholt;nl NED;DF;Crystal Palace;25;1990;11;8;714;07.sept;2;0;2;2;0;0;1;0;0.25;0.00;0.25;0.25;0.25
Patrick van Aanholt;nl NED;DF;Sunderland;25;1990;21;20;1 784;19.août;3;1;4;3;0;0;2;0;0.15;0.05;0.20;0.15;0.20
Charlie Adam;sct SCO;MF;Stoke City;30;1985;24;17;1 491;16.juin;1;3;4;0;1;1;7;0;0.06;0.18;0.24;0.00;0.18
Albert Adomah;gh GHA;DF FW;Middlesbrough;28;1987;2;1;122;01.avr;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00
Adrián;es ESP;GK;West Ham;29;1987;16;16;1 44;16.0;0;0;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00
Ibrahim Afellay;nl NED;FW MF;Stoke City;30;1986;12;3;384;04.mars;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00
Benik Afobe;cd COD;FW;Bournemouth;23;1993;31;14;1 461;16.févr;6;3;9;6;0;1;1;0;0.37;0.18;0.55;0.37;0.55
Sergio Agüero;ar ARG;FW;Manchester City;28;1988;31;25;2 403;26.juil;20;4;24;16;4;5;4;1;0.75;0.15;0.90;0.60;0.75
Dan Agyei;eng ENG;FW MF;Burnley;19;1997;3;0;25;0.3;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00
Ola Aina;ng NGA;DF MF;Chelsea;19;1996;3;0;26;0.3;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00
Nathan Aké;nl NED;DF MF;Bournemouth;21;1995;10;8;735;08.févr;3;0;3;3;0;0;0;0;0.37;0.00;0.37;0.37;0.37
Nathan Aké;nl NED;DF MF;Chelsea;21;1995;2;1;99;01.janv;0;0;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00
Marc Albrighton;eng ENG;DF FW;Leicester City;26;1989;33;29;2 411;26.août;2;6;8;2;0;0;5;0;0.07;0.22;0.30;0.07;0.30
Toby Alderweireld;be BEL;DF;Tottenham;27;1989;30;30;2 601;28.sept;1;0;1;1;0;0;1;0;0.03;0.00;0.03;0.03;0.03
Trent Alexander-Arnold;eng ENG;DF;Liverpool;17;1998;7;2;167;01.sept;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00
Joe Allen;wls WAL;MF;Stoke City;26;1990;36;34;2 93;32.6;6;2;8;6;0;0;9;0;0.18;0.06;0.25;0.18;0.25
Dele Alli;eng ENG;FW MF;Tottenham;20;1996;37;35;3 034;33.7;18;7;25;17;1;1;4;0;0.53;0.21;0.74;0.50;0.71
Ryan Allsop;eng ENG;GK;Bournemouth;24;1992;1;1;90;1.0;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00
Marcos Alonso;es ESP;DF MF;Chelsea;25;1990;31;30;2 693;29.sept;6;3;9;6;0;0;2;0;0.20;0.10;0.30;0.20;0.30
Daniel Amartey;gh GHA;DF MF;Leicester City;21;1994;24;17;1 673;18.juin;1;1;2;1;0;0;3;0;0.05;0.05;0.11;0.05;0.11
Jordi Amat;id IDN;DF;Swansea City;24;1992;17;15;1 409;15.juil;0;0;0;0;0;0;5;0;0.00;0.00;0.00;0.00;0.00
Nordin Amrabat;ma MAR;FW MF;Watford;29;1987;29;25;2 091;23.févr;0;3;3;0;0;0;4;0;0.00;0.13;0.13;0.00;0.13
Victor Anichebe;ng NGA;FW;Sunderland;28;1988;18;14;1 219;13.mai;3;0;3;3;0;0;2;0;0.22;0.00;0.22;0.22;0.22
Michail Antonio;jm JAM;FW MF;West Ham;26;1990;29;29;2 433;27.0;9;3;12;9;0;0;6;2;0.33;0.11;0.44;0.33;0.44
Ikechi Anya;sct SCO;FW MF;Watford;28;1988;1;0;10;0.1;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00
Player;Nation;Pos;Squad;Age;Born;MP;Starts;Min;90s;Gls;Ast;G+A;G-PK;PK;PKatt;CrdY;CrdR;Gls;Ast;G+A;G-PK;G+A-PK
Álvaro Arbeloa;es ESP;DF;West Ham;33;1983;3;1;258;02.sept;0;0;0;0;0;0;3;0;0.00;0.00;0.00;0.00;0.00
Scott Arfield;ca CAN;MF;Burnley;27;1988;31;23;2 102;23.avr;1;1;2;1;0;0;3;0;0.04;0.04;0.09;0.04;0.09
Marko Arnautović;at AUT;FW MF;Stoke City;27;1989;32;32;2 714;30.2;6;5;11;6;0;1;9;1;0.20;0.17;0.36;0.20;0.36
Harry Arter;ie IRL;MF;Bournemouth;26;1989;35;33;2 957;32.9;1;3;4;1;0;1;13;1;0.03;0.09;0.12;0.03;0.12
Joel Asoro;se SWE;FW MF;Sunderland;17;1999;1;0;10;0.1;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00
Charlie Austin;eng ENG;FW;Southampton;27;1989;15;11;934;10.avr;6;1;7;4;2;2;1;0;0.58;0.10;0.67;0.39;0.48
Daniel Ayala;es ESP;DF;Middlesbrough;25;1990;14;11;918;10.févr;1;0;1;1;0;0;3;0;0.10;0.00;0.10;0.10;0.10
