Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
Patrick van Aanholt,nl NED,DF,Crystal Palace,28,1990,29,29,2 507,27.sept,3,2,5,2,1,1,0,0,02.janv,01.mars,03.juil,05.janv,60,143,89,0.11,0.07,0.18,0.07,0.14,0.08,0.13,0.21,0.05,0.18
Max Aarons,eng ENG,DF,Norwich City,19,2000,36,36,3 24,36.0,0,1,1,0,0,0,7,0,0.6,0.6,03.sept,04.mai,92,78,151,0.00,0.03,0.03,0.00,0.03,0.02,0.11,0.12,0.02,0.12
Tammy Abraham,eng ENG,FW,Chelsea,21,1997,34,25,2 215,24.juin,15,3,18,15,0,0,2,0,16.avr,16.avr,02.juil,19.0,31,34,134,0.61,0.12,0.73,0.61,0.73,0.67,0.11,0.77,0.67,0.77
Che Adams,sct SCO,FW,Southampton,23,1996,30,12,1 111,12.mars,4,2,6,4,0,0,0,0,05.mars,05.mars,01.juil,7.0,20,16,87,0.32,0.16,0.49,0.32,0.49,0.43,0.14,0.57,0.43,0.57
Adrián,es ESP,GK,Liverpool,32,1987,11,9,875,09.juil,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Sergio Agüero,ar ARG,FW,Manchester City,31,1988,24,18,1 452,16.janv,16,3,19,14,2,3,1,0,14.mai,12.janv,02.mars,14.avr,35,34,105,0.99,0.19,janv.18,0.87,01.mai,0.90,0.14,01.avr,0.75,0.89
Albian Ajeti,ch SUI,FW,West Ham,22,1997,9,0,139,01.mai,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.2,0,0,10,0.00,0.00,0.00,0.00,0.00,0.11,0.05,0.16,0.11,0.16
Nathan Aké,nl NED,DF,Bournemouth,24,1995,29,29,2 503,27.août,2,2,4,2,0,0,2,0,3.0,3.0,02.févr,05.janv,12,81,7,0.07,0.07,0.14,0.07,0.14,0.11,0.08,0.18,0.11,0.18
Marc Albrighton,eng ENG,MF DF,Leicester City,29,1989,20,9,867,09.juin,0,3,3,0,0,0,2,0,0.4,0.4,02.févr,02.juin,20,45,94,0.00,0.31,0.31,0.00,0.31,0.04,0.22,0.27,0.04,0.27
Toby Alderweireld,be BEL,DF,Tottenham,30,1989,33,33,2 957,32.9,2,2,4,2,0,0,7,0,0.7,0.7,01.mars,02.janv,11,96,10,0.06,0.06,0.12,0.06,0.12,0.02,0.04,0.06,0.02,0.06
Trent Alexander-Arnold,eng ENG,DF,Liverpool,20,1998,38,35,3 175,35.3,4,13,17,4,0,0,5,0,02.août,02.août,10.sept,13.juil,98,247,226,0.11,0.37,0.48,0.11,0.48,0.08,0.31,0.39,0.08,0.39
Alisson,br BRA,GK,Liverpool,26,1992,29,29,2 543,28.mars,0,1,1,0,0,0,0,1,0.0,0.0,0.3,0.3,0,1,0,0.00,0.04,0.04,0.00,0.04,0.00,0.01,0.01,0.00,0.01
Dele Alli,eng ENG,MF FW,Tottenham,23,1996,25,21,1 847,20.mai,8,4,12,7,1,1,2,0,08.janv,07.mars,03.mai,10.août,56,69,152,0.39,0.19,0.58,0.34,0.54,0.40,0.17,0.56,0.36,0.53
Miguel Almirón,py PAR,MF FW,Newcastle Utd,25,1994,36,35,3 021,33.6,4,2,6,4,0,0,5,0,06.juil,06.juil,3.0,09.juil,120,77,160,0.12,0.06,0.18,0.12,0.18,0.20,0.09,0.29,0.20,0.29
Marcos Alonso,es ESP,DF,Chelsea,28,1990,18,15,1 43,15.sept,4,2,6,4,0,0,4,0,02.juin,02.juin,02.juin,05.févr,62,69,155,0.25,0.13,0.38,0.25,0.38,0.16,0.17,0.33,0.16,0.33
Steven Alzate,co COL,MF DF,Brighton,20,1998,19,12,1 188,13.févr,0,0,0,0,0,0,1,0,01.févr,01.févr,0.7,2.0,34,66,92,0.00,0.00,0.00,0.00,0.00,0.09,0.06,0.15,0.09,0.15
Ibrahim Amadou,fr FRA,DF MF,Norwich City,26,1993,11,8,759,08.avr,0,0,0,0,0,0,1,0,0.8,0.8,0.0,0.8,4,13,1,0.00,0.00,0.00,0.00,0.00,0.09,0.00,0.10,0.09,0.10
Felipe Anderson,br BRA,MF FW,West Ham,26,1993,25,20,1 497,16.juin,1,4,5,1,0,0,1,0,02.mai,02.mai,03.janv,05.juin,106,100,132,0.06,0.24,0.30,0.06,0.30,0.15,0.18,0.34,0.15,0.34
Florin Andone,ro ROU,FW,Brighton,26,1993,3,1,73,0.8,1,0,1,1,0,0,0,1,0.4,0.4,0.1,0.4,2,0,4,janv.23,0.00,janv.23,janv.23,janv.23,0.45,0.06,0.51,0.45,0.51
Angeliño,es ESP,DF,Manchester City,22,1997,6,4,423,04.juil,0,0,0,0,0,0,1,0,0.2,0.2,01.mai,01.juil,21,41,70,0.00,0.00,0.00,0.00,0.00,0.05,0.32,0.36,0.05,0.36
