Player,Age,Nationality,Position,MarketValue,FromClub,Transfer Fee
Gabriel Jesus,25,Brazil,Centre-Forward,50000000,Manchester City,52200000
Fábio Vieira,22,Portugal,Attacking Midfield,25000000,FC Porto,35000000
Leandro Trossard,28,Belgium,Left Winger,30000000,Brighton & Hove Albion,24000000
Jhon Durán,19,Colombia,Centre-Forward,6000000,Chicago Fire FC,29500000
Philippe Coutinho,30,Portugal,Attacking Midfield,20000000,FC Barcelona,20000000
Dango Ouattara,20,Burkina Faso,Left Winger,10000000,FC Lorient,22500000
Marcus Tavernier,23,England,Left Midfield,4500000,Middlesbrough FC,11900000
Antoine Semenyo,23,England,Right Winger,3000000,Bristol City,10250000
Keane Lewis-Potter,21,England,Left Midfield,12000000,Hull City,19000000
Mikkel Damsgaard,22,Denmark,Attacking Midfield,15000000,UC Sampdoria,15000000
Julio Enciso,18,Paraguay,Attacking Midfield,11000000,Club Libertad Asunción,11600000
Facundo Buonanotte,18,Italy,Attacking Midfield,9000000,CA Rosario Central,6000000
Enzo Fernández,22,Argentina,Central Midfield,55000000,SL Benfica,121000000
Mykhaylo Mudryk,22,Ukraine,Left Winger,40000000,Shakhtar Donetsk,70000000
Raheem Sterling,27,Jamaica,Right Winger,70000000,Manchester City,56200000
Noni Madueke,20,Nigeria,Right Winger,15000000,PSV Eindhoven,35000000
Carney Chukwuemeka,18,Nigeria,Central Midfield,6000000,Aston Villa,18000000
Cesare Casadei,19,Italy,Central Midfield,1000000,Inter Milan,14860000
Andrey Santos,18,Brazil,Central Midfield,10000000,Clube de Regatas Vasco da Gama,12500000
Pierre-Emerick Aubameyang,33,France,Centre-Forward,15000000,FC Barcelona,12000000
David Datro Fofana,20,Cote d'Ivoire,Centre-Forward,7000000,Molde FK,12000000
Naouirou Ahamada,20,Comoros,Central Midfield,5500000,VfB Stuttgart,12000000
Dwight McNeil,22,Jamaica,Left Winger,18000000,Burnley FC,17000000
Neal Maupay,26,Argentina,Centre-Forward,18000000,Brighton & Hove Albion,11800000
Saša Lukić,26,Serbia,Central Midfield,13000000,Torino FC,9800000
Andreas Pereira,26,Belgium,Attacking Midfield,7500000,Manchester United,9500000
Georginio Rutter,20,Martinique,Centre-Forward,16000000,TSG 1899 Hoffenheim,40500000
Brenden Aaronson,21,United States,Attacking Midfield,25000000,Red Bull Salzburg,32840000
Luis Sinisterra,23,Colombia,Left Winger,25000000,Feyenoord Rotterdam,25000000
Darwin Núñez,23,Uruguay,Centre-Forward,55000000,SL Benfica,85000000
Cody Gakpo,23,Togo,Left Winger,60000000,PSV Eindhoven,42000000
Fábio Carvalho,19,England,Attacking Midfield,12000000,Fulham FC,9400000
Erling Haaland,21,Norway,Centre-Forward,150000000,Borussia Dortmund,60000000
Antony,22,Brazil,Right Winger,35000000,Ajax Amsterdam,95000000
Alexander Isak,22,Eritrea,Centre-Forward,30000000,Real Sociedad,77500000
Anthony Gordon,21,England,Left Winger,40000000,Everton FC,45600000
Morgan Gibbs-White,22,Jamaica,Attacking Midfield,11000000,Wolverhampton Wanderers,29500000
Taiwo Awoniyi,24,Nigeria,Centre-Forward,20000000,1.FC Union Berlin,20500000
Emmanuel Dennis,24,Nigeria,Centre-Forward,14000000,Watford FC,14800000
Lewis O'Brien,23,England,Central Midfield,3500000,Huddersfield Town,9400000
Kamaldeen Sulemana,20,Ghana,Left Winger,18000000,Stade Rennais FC,25000000
Paul Onuachu,28,Nigeria,Centre-Forward,15000000,KRC Genk,18000000
Carlos Alcaraz,20,Argentina,Central Midfield,8500000,Racing Club,13650000
Sékou Mara,19,Senegal,Centre-Forward,3000000,FC Girondins Bordeaux,11500000
Joe Aribo,25,England,Central Midfield,10000000,Rangers FC,8200000
Samuel Edozie,19,Nigeria,Left Winger,800000,Manchester City U21,8000000
Mislav Orsic,30,Croatia,Left Winger,10000000,GNK Dinamo Zagreb,5750000
Richarlison,25,Brazil,Centre-Forward,48000000,Everton FC,58000000
Lucas Paquetá,25,Portugal,Attacking Midfield,35000000,Olympique Lyon,42950000
Gianluca Scamacca,23,Italy,Centre-Forward,30000000,US Sassuolo,38600000
Maxwel Cornet,25,France,Left Winger,15000000,Burnley FC,20700000
Gonçalo Guedes,25,Portugal,Left Winger,40000000,Valencia CF,32600000
João Gomes,21,Brazil,Central Midfield,15000000,CR Flamengo,18700000
Sasa Kalajdzic,25,Austria,Centre-Forward,25000000,VfB Stuttgart,18000000
Hee-chan Hwang,26,Korea South,Centre-Forward,16000000,RB Leipzig,16700000
