Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
Ignazio Abate,it ITA,DF MF,Milan,29,1986,23,22,1924,21.avr,0,2,2,0,0,0,2,0,0.00,0.09,0.09,0.00,0.09
Francesco Acerbi,it ITA,DF,Sassuolo,28,1988,38,38,342,38.0,4,0,4,3,1,1,2,0,0.11,0.00,0.11,0.08,0.08
Maxwell Acosty,gh GHA,FW MF,Crotone,24,1991,11,3,378,04.févr,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00
Afriyie Acquah,gh GHA,MF,Torino,24,1992,20,13,1077,12.0,2,0,2,2,0,0,8,3,0.17,0.00,0.17,0.17,0.17
Claud Adjapong,it ITA,DF MF,Sassuolo,18,1998,9,6,510,05.juil,1,0,1,1,0,0,3,0,0.18,0.00,0.18,0.18,0.18
Ali Adnan Kadhim,iq IRQ,DF MF,Udinese,22,1993,14,8,872,09.juil,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00
Luiz Adriano,br BRA,FW MF,Milan,29,1987,7,1,127,01.avr,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Emmanuel Agyemang-Badu,gh GHA,MF,Udinese,25,1990,29,20,2033,22.juin,0,3,3,0,0,0,2,0,0.00,0.13,0.13,0.00,0.13
Arlind Ajeti,al ALB,DF,Torino,22,1993,4,3,251,02.août,1,0,1,1,0,0,1,0,0.36,0.00,0.36,0.36,0.36
Luis Alberto,es ESP,FW MF,Lazio,23,1992,9,4,365,04.janv,1,2,3,1,0,0,0,0,0.25,0.49,0.74,0.25,0.74
Raúl Albiol,es ESP,DF,Napoli,30,1985,26,25,2297,25.mai,0,1,1,0,0,0,8,0,0.00,0.04,0.04,0.00,0.04
Haitam Aleesami,no NOR,DF MF,Palermo,25,1991,31,29,263,29.2,1,3,4,1,0,0,6,0,0.03,0.10,0.14,0.03,0.14
Allan,br BRA,DF MF,Napoli,25,1991,29,19,161,17.sept,1,6,7,1,0,0,3,0,0.06,0.34,0.39,0.06,0.39
Marcos Alonso,es ESP,DF MF,Fiorentina,25,1990,2,2,180,2.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Ricky Álvarez,ar ARG,MF,Sampdoria,28,1988,21,11,987,11.0,2,2,4,2,0,0,3,1,0.18,0.18,0.36,0.18,0.36
Bruno Alves,pt POR,DF,Cagliari,34,1981,36,36,324,36.0,1,0,1,1,0,0,5,1,0.03,0.00,0.03,0.03,0.03
Dani Alves,br BRA,DF MF,Juventus,33,1983,19,15,1359,15.janv,2,3,5,2,0,0,5,0,0.13,0.20,0.33,0.13,0.33
Felipe Anderson,br BRA,FW MF,Lazio,23,1993,36,33,2908,32.3,4,8,12,3,1,1,5,0,0.12,0.25,0.37,0.09,0.34
