Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
Francesco Acerbi,it ITA,DF,Lazio,31,1988,36,36,3162,35.1,2,2,4,2,0,0,4,0,02.avr,02.avr,01.juil,04.févr,57,150,36,0.06,0.06,0.11,0.06,0.11,0.07,0.05,0.12,0.07,0.12
Bobby Adekanye,nl NED,FW,Lazio,20,1999,11,0,188,02.janv,1,0,1,1,0,0,1,0,01.avr,01.avr,0.2,01.juin,6,2,12,0.48,0.00,0.48,0.48,0.48,0.65,0.09,0.74,0.65,0.74
Claud Adjapong,it ITA,DF,Hellas Verona,21,1998,5,2,231,02.juin,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,4,5,16,0.00,0.00,0.00,0.00,0.00,0.09,0.00,0.09,0.09,0.09
Lucien Agoume,fr FRA,MF,Inter,17,2002,3,0,68,0.8,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,1,7,2,0.00,0.00,0.00,0.00,0.00,0.00,0.11,0.11,0.00,0.11
Kevin Agudelo,co COL,MF FW,Fiorentina,20,1998,3,1,64,0.7,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.3,1,4,8,0.00,0.00,0.00,0.00,0.00,0.26,0.14,0.40,0.26,0.40
Kevin Agudelo,co COL,MF FW,Genoa,20,1998,10,7,666,07.avr,1,1,2,1,0,0,5,1,01.févr,01.févr,01.juin,02.août,39,41,34,0.14,0.14,0.27,0.14,0.27,0.17,0.21,0.38,0.17,0.38
Emmanuel Agyemang-Badu,gh GHA,MF,Hellas Verona,28,1990,10,2,230,02.juin,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,2,7,1,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01
Ola Aina,ng NGA,DF,Torino,22,1996,32,20,2079,23.janv,0,2,2,0,0,0,8,0,0.4,0.4,02.mai,02.sept,86,80,80,0.00,0.09,0.09,0.00,0.09,0.02,0.11,0.13,0.02,0.13
Luis Alberto,es ESP,MF,Lazio,26,1992,36,36,3113,34.6,6,15,21,5,1,1,5,0,06.juin,05.août,11.avr,17.févr,203,371,163,0.17,0.43,0.61,0.14,0.58,0.19,0.33,0.52,0.17,0.50
Enrico Alfonso,it ITA,GK,Brescia,31,1988,4,4,279,03.janv,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Allan,br BRA,MF,Napoli,28,1991,23,16,128,14.févr,2,1,3,2,0,0,3,0,0.5,0.5,01.janv,01.juin,25,82,53,0.14,0.07,0.21,0.14,0.21,0.04,0.08,0.11,0.04,0.11
Bruno Alves,pt POR,DF,Parma,37,1981,33,31,2671,29.juil,0,0,0,0,0,0,4,0,01.mars,01.mars,0.5,01.août,6,99,11,0.00,0.00,0.00,0.00,0.00,0.04,0.02,0.06,0.04,0.06
Sofyan Amrabat,ma MAR,MF,Hellas Verona,22,1996,34,33,2919,32.4,1,1,2,0,1,1,10,2,2.0,01.mars,02.avr,03.juin,84,199,52,0.03,0.03,0.06,0.00,0.03,0.06,0.07,0.14,0.04,0.11
Djavan Anderson,sr SUR,FW DF,Lazio,24,1995,6,2,167,01.sept,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,4,0,4,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03
Lorenzo Andrenacci,it ITA,GK,Brescia,24,1995,6,5,531,05.sept,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Peter Ankersen,dk DEN,DF,Genoa,28,1990,19,11,1063,11.août,0,1,1,0,0,0,2,0,0.4,0.4,0.6,1.0,16,36,65,0.00,0.08,0.08,0.00,0.08,0.04,0.05,0.08,0.04,0.08
Cristian Ansaldi,ar ARG,DF MF,Torino,32,1986,27,21,1768,19.juin,4,4,8,4,0,0,9,0,01.sept,01.sept,03.mars,05.févr,90,66,124,0.20,0.20,0.41,0.20,0.41,0.09,0.17,0.26,0.09,0.26
Mirko Antonucci,it ITA,FW MF,Roma,20,1999,2,0,82,0.9,0,0,0,0,0,0,1,0,0.2,0.2,0.0,0.2,2,1,6,0.00,0.00,0.00,0.00,0.00,0.21,0.04,0.25,0.21,0.25
Guilherme Arana,br BRA,DF,Atalanta,22,1997,4,0,80,0.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,4,6,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.00,0.04
Nicolò Armini,it ITA,DF,Lazio,18,2001,1,0,3,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Kwadwo Asamoah,gh GHA,DF FW,Inter,30,1988,8,7,639,07.janv,0,1,1,0,0,0,1,0,0.1,0.1,0.4,0.5,25,26,54,0.00,0.14,0.14,0.00,0.14,0.02,0.05,0.07,0.02,0.07
Kristoffer Askildsen,no NOR,MF,Sampdoria,18,2001,4,0,76,0.8,1,0,1,1,0,0,2,1,0.0,0.0,0.1,0.1,2,2,0,janv.18,0.00,janv.18,janv.18,janv.18,0.03,0.11,0.14,0.03,0.14
Emil Audero,id IDN,GK,Sampdoria,22,1997,36,36,324,36.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Tommaso Augello,it ITA,DF,Sampdoria,24,1994,17,12,1135,12.juin,0,2,2,0,0,0,2,0,0.0,0.0,01.févr,01.févr,43,77,87,0.00,0.16,0.16,0.00,0.16,0.00,0.09,0.09,0.00,0.09
Florian Ayé,fr FRA,FW MF,Brescia,22,1997,22,15,138,15.mars,0,0,0,0,0,0,4,1,02.avr,02.avr,01.janv,03.mai,18,16,88,0.00,0.00,0.00,0.00,0.00,0.15,0.07,0.23,0.15,0.23
Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
Khouma Babacar,sn SEN,FW,Lecce,26,1993,25,17,1422,15.août,3,0,3,3,0,2,4,0,06.juin,04.sept,01.juin,06.mai,29,28,100,0.19,0.00,0.19,0.19,0.19,0.42,0.10,0.52,0.31,0.41
Milan Badelj,hr CRO,MF,Fiorentina,30,1989,22,20,1585,17.juin,1,0,1,1,0,0,3,1,01.janv,01.janv,0.7,01.août,20,103,29,0.06,0.00,0.06,0.06,0.06,0.06,0.04,0.10,0.06,0.10
Marco Ballarini,it ITA,MF,Udinese,18,2001,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Mario Balotelli,it ITA,FW,Brescia,28,1990,19,16,1404,15.juin,5,0,5,5,0,0,6,1,07.janv,07.janv,0.6,07.août,18,42,59,0.32,0.00,0.32,0.32,0.32,0.46,0.04,0.50,0.46,0.50
Mattia Bani,it ITA,DF,Bologna,25,1993,27,26,2207,24.mai,4,0,4,4,0,0,13,1,03.juil,03.juil,0.1,03.août,6,72,7,0.16,0.00,0.16,0.16,0.16,0.15,0.00,0.15,0.15,0.15
Antonín Barák,cz CZE,MF FW,Udinese,24,1994,8,1,194,02.févr,0,0,0,0,0,0,1,0,0.1,0.1,0.2,0.3,7,11,12,0.00,0.00,0.00,0.00,0.00,0.05,0.08,0.13,0.05,0.13
Antonín Barák,cz CZE,MF,Lecce,24,1994,16,15,1369,15.févr,2,1,3,2,0,0,0,0,03.sept,03.sept,01.juin,05.mai,44,81,66,0.13,0.07,0.20,0.13,0.20,0.25,0.11,0.36,0.25,0.36
Nicolò Barella,it ITA,MF,Inter,22,1997,27,23,2013,22.avr,1,4,5,1,0,0,11,0,02.janv,02.janv,01.juil,03.juil,47,183,98,0.04,0.18,0.22,0.04,0.22,0.09,0.07,0.17,0.09,0.17
Antonino Barillà,it ITA,MF,Parma,31,1988,26,20,1688,18.août,1,2,3,1,0,0,6,0,01.juin,01.juin,2.0,03.juin,15,44,38,0.05,0.11,0.16,0.05,0.16,0.09,0.10,0.19,0.09,0.19
Antonio Barreca,it ITA,DF FW,Genoa,24,1995,18,11,1095,12.févr,0,1,1,0,0,0,0,0,0.2,0.2,0.7,0.8,33,25,58,0.00,0.08,0.08,0.00,0.08,0.02,0.05,0.07,0.02,0.07
Édgar Barreto,py PAR,MF,Sampdoria,35,1984,2,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,1,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03
Musa Barrow,gm GAM,FW MF,Bologna,20,1998,18,14,1354,15.0,9,2,11,8,1,1,1,0,05.mars,04.mai,03.janv,07.juin,59,62,96,0.60,0.13,0.73,0.53,0.66,0.35,0.20,0.56,0.30,0.50
Musa Barrow,gm GAM,FW MF,Atalanta,20,1998,7,1,190,02.janv,0,2,2,0,0,1,0,0,02.avr,01.juin,1.0,02.juin,6,7,35,0.00,0.95,0.95,0.00,0.95,janv.15,0.46,janv.61,0.77,janv.24
Daniele Baselli,it ITA,MF,Torino,27,1992,16,16,1278,14.févr,0,2,2,0,0,0,3,0,0.7,0.7,0.9,01.juin,20,72,14,0.00,0.14,0.14,0.00,0.14,0.05,0.06,0.11,0.05,0.11
Alessandro Bastoni,it ITA,DF,Inter,20,1999,25,21,1921,21.mars,2,0,2,2,0,0,9,1,01.mars,01.mars,0.7,2.0,50,107,24,0.09,0.00,0.09,0.09,0.09,0.06,0.03,0.09,0.06,0.09
Bastos,ao ANG,DF,Lazio,28,1991,16,6,765,08.mai,1,0,1,1,0,0,4,0,0.4,0.4,0.0,0.4,14,17,11,0.12,0.00,0.12,0.12,0.12,0.05,0.00,0.05,0.05,0.05
Rodrigo Becão,br BRA,DF,Udinese,23,1996,29,24,2213,24.juin,1,1,2,1,0,0,8,0,0.6,0.6,0.6,01.févr,12,59,9,0.04,0.04,0.08,0.04,0.08,0.03,0.02,0.05,0.03,0.05
Asmir Begović,ba BIH,GK,Milan,32,1987,2,1,129,01.avr,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Valon Behrami,ch SUI,MF,Genoa,34,1985,17,13,1107,12.mars,0,0,0,0,0,0,4,1,0.2,0.2,0.0,0.2,5,38,3,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02
