Player,Age,Nationality,Position,Market_Value,Previous_Club,Transfer_Fee,Club
Thomas Delaney,26,Denmark,Central Midfield,12000000,Werder Bremen,20000000,Borussia Dortmund
Paulinho,18,Brazil,Left Winger,25000000,Vasco da Gama,18500000,Bayer Leverkusen
Amadou Haidara,20,Mali,Central Midfield,20000000,Red Bull Salzburg,19000000,RB Leipzig
Matheus Cunha,19,Brazil,Second Striker,1500000,FC Sion,15000000,RB Leipzig
Alassane Pléa,25,France,Centre-Forward,18000000,OGC Nice,23000000,Borussia Mönchengladbach
Leonardo Bittencourt,24,Germany,Central Midfield,6000000,1.FC Köln,6000000,TSG Hoffenheim
Ishak Belfodil,26,Algeria,Centre-Forward,5500000,Standard Liège,5500000,TSG Hoffenheim
Vincenzo Grifo,25,Italy,Left Winger,7500000,Borussia Mönchengladbach,5500000,TSG Hoffenheim
Nico González,20,Argentina,Left Winger,5000000,Argentinos Juniors,11260000,VfB Stuttgart
Gonzalo Castro,31,Germany,Central Midfield,8000000,Borussia Dortmund,5000000,VfB Stuttgart
Ante Rebić,24,Croatia,Left Winger,10000000,Fiorentina,4500000,Eintracht Frankfurt
Gonçalo Paciência,23,Portugal,Centre-Forward,3000000,FC Porto,3000000,Eintracht Frankfurt
Davy Klaassen,25,Netherlands,Central Midfield,15000000,Everton,13500000,SV Werder Bremen
Yuya Osako,28,Japan,Centre-Forward,4500000,1.FC Köln,4500000,SV Werder Bremen
Jean-Philippe Mateta,21,France,Centre-Forward,2500000,Olympique Lyon,8000000,1.FSV Mainz 05
Pierre Kunde,22,Cameroon,Central Midfield,2000000,Atlético Madrid B,7500000,1.FSV Mainz 05
Jean-Paul Boëtius,24,Netherlands,Attacking Midfield,2000000,Feyenoord,3500000,1.FSV Mainz 05
Wout Weghorst,25,Netherlands,Centre-Forward,7000000,AZ Alkmaar,10500000,VfL Wolfsburg
Daniel Ginczek,27,Germany,Centre-Forward,3500000,VfB Stuttgart,10000000,VfL Wolfsburg
Suat Serdar,21,Germany,Central Midfield,7500000,1.FSV Mainz 05,11000000,FC Schalke 04
Rabbi Matondo,18,Wales,Right Winger,0,Manchester City U23,9000000,FC Schalke 04
