Player,Age,Nationality,Position,Market_Value,Previous_Club,Transfer_Fee
Raphinha,25,Brazil,Left Wing,45000000,Leeds,58000000
Robert Lewandowski,33,Poland,Centre-Forward,45000000,Bayern Munich,45000000
Umar Sadiq,25,Nigeria,Centre-Forward,18000000,UD Almería,20000000
Brais Méndez,25,Spain,Attacking Midfield,18000000,Celta de Vigo,14000000
Mohamed-Ali Cho,18,France,Right Wing,15000000,Angers SCO,13000000
Luiz Henrique,21,Brazil,Right Wing,12000000,Fluminense,10400000
William José,30,Brazil,Centre-Forward,12000000,Real Sociedad,10000000
Raúl de Tomás,27,Spain,Centre-Forward,25000000,Espanyol,11000000
Borja Mayoral,25,Spain,Centre-Forward,9000000,real Madrid,10000000
Jørgen Strand Larsen,22,Norway,Centre-Forward,6000000,FC Groningen,15040000
Takefusa Kubo,21,Japan,Right Wing,7500000,real Madrid,6500000
Vedat Muriqi,28,Kosovo,Centre-Forward,7000000,Lazio,8020000
El Bilal Touré,20,Mali,Centre-Forward,6500000,Stade Reims,8000000
Lázaro,20,Brazil,Left Wing,7000000,Flamengo,7000000
André Almeida,22,Portugal,Attacking Midfield,5000000,Vit. Guimarães,8000000
Gonzalo Plata,21,Ecuador,Right Wing,6000000,Sporting,9000000
Williot Swedberg,18,Sweden,Left Wing,5000000,Hammarby,5500000
Pablo Torre,19,Spain,Attacking Midfield,3000000,Racing,6000000
