Player,Age,Nationality,Position,Market_Value,Previous_Club,Transfer_Fee
Serhou Guirassy,23,Guinea,Centre-Forward,3500000,1.FC Köln,6000000
Victor Osimhen,20,Nigeria,Centre-Forward,13000000,Royal Charleroi SC,22400000
Renato Sanches,22,Portugal,Central Midfield,18000000,Bayern Munich,20000000
Yusuf Yazıcı,22,Turkey,Attacking Midfield,13000000,Trabzonspor,18500000
Timothy Weah,19,United States,Right Winger,6000000,Paris Saint-Germain,10000000
Jeff Reine-Adélaïde,21,France,Attacking Midfield,11000000,Angers SCO,25000000
Bruno Guimarães,22,Brazil,Central Midfield,20000000,Athletico Paranaense,20000000
Tino Kadewere,24,Zimbabwe,Centre-Forward,4000000,Le Havre AC,12000000
Jean Lucas,21,Brazil,Central Midfield,1000000,CR Flamengo,8000000
Wissam Ben Yedder,29,France,Centre-Forward,40000000,Sevilla,40000000
Gelson Martins,24,Portugal,Right Winger,28000000,Atlético Madrid,30000000
Henry Onyekuru,22,Nigeria,Left Winger,13000000,Everton,13500000
Téji Savanier,27,France,Attacking Midfield,12000000,Nîmes Olympique,9500000
Ludovic Blas,21,France,Right Winger,5000000,EA Guingamp,8000000
Kasper Dolberg,21,Denmark,Centre-Forward,18000000,Ajax,20500000
Alexis Claude-Maurice,21,France,Attacking Midfield,7500000,FC Lorient,13000000
Pablo Sarabia,27,Spain,Right Winger,40000000,Sevilla,18000000
Raphinha,22,Brazil,Left Winger,8000000,Sporting CP,21000000
M'Baye Niang,24,Senegal,Centre-Forward,12000000,Torino,15000000
Flavien Tait,26,France,Central Midfield,8000000,Angers SCO,9000000
Wesley Saïd,24,France,Centre-Forward,6000000,Dijon FCO,8000000
Rémi Oudin,23,France,Attacking Midfield,11000000,Stade Reims,10000000
