Player,Age,Nationality,Position,Market_Value,Previous_Club,Transfer_Fee
Federico Bernardeschi,23,Italy,Right Winger,30000000,Fiorentina,40000000
André Silva,21,Portugal,Centre-Forward,22000000,Porto,38000000
Hakan Çalhanoğlu,23,Turkey,Attacking Midfield,20000000,Leverkusen,23300000
Matías Vecino,25,Uruguay,Central Midfield,13000000,Fiorentina,24000000
Blaise Matuidi,30,France,Central Midfield,30000000,PSG,25000000
Rodrigo Bentancur,20,Uruguay,Central Midfield,6000000,Boca Juniors,23500000
Roberto Gagliardini,23,Italy,Central Midfield,15000000,Atalanta,20500000
Juan Cuadrado,29,Colombia,Right Midfield,25000000,Chelsea,20000000
Wojciech Szczęsny,27,Poland,Goalkeeper,17000000,Arsenal,18400000
Cengiz Ünder,20,Turkey,Right Winger,5000000,Basaksehir,14250000
Marco Benassi,22,Italy,Central Midfield,9500000,Torino,12000000
Lorenzo Pellegrini,21,Italy,Attacking Midfield,12000000,Sassuolo,10000000
Leonardo Pavoletti,28,Italy,Centre-Forward,11000000,Napoli,9800000
Marko Rog,21,Croatia,Central Midfield,10000000,Dinamo Zagreb,13500000
Roberto Inglese,25,Italy,Centre-Forward,4500000,Chievo Verona,12000000
Adam Ounas,20,Algeria,Right Winger,4000000,G. Bordeaux,12000000
Davide Frattesi,17,Italy,Central Midfield,200000,Roma,14600000
Gianluca Caprari,23,Italy,Second Striker,6000000,Inter,15000000
Gastón Ramírez,26,Uruguay,Central Midfield,6000000,Middlesbrough,6300000
Bruno Fernandes,22,Portugal,Attacking Midfield,7500000,Udinese,6000000
Riad Bajić,23,Bosnia-Herzegovina,Centre-Forward,5000000,Konyaspor,5500000
Josip Iličić,29,Slovenia,Attacking Midfield,10000000,Fiorentina,6400000
