Player,Age,Nationality,Position,Market_Value,Previous_Club,Transfer_Fee
Nicolas Pépé,24,Ivory Coast,Right Wing,65000000,Lille,80000000
Gabriel Martinelli,18,Brazil,Left Wing,0,Ituano,7100000
Bruno Fernandes,25,Portugal,Attacking Midfield,60000000,Sporting,65000000
Daniel James,21,Wales,Right Wing,12000000,Swansea,17800000
Raúl Jiménez,28,Mexico,Centre-Forward,35000000,Benfica,38000000
Daniel Podence,24,Portugal,Left Wing,6000000,Olympiacos,19600000
Patrick Cutrone,21,Italy,Centre-Forward,28000000,AC Milan,18000000
Pedro Neto,19,Portugal,Right Wing,2500000,Lazio,17900000
Alex Iwobi,23,Nigeria,Left Wing,25000000,Arsenal,30400000
Moise Kean,19,Italy,Centre-Forward,40000000,Juventus,27500000
André Gomes,25,Portugal,Central Midfield,28000000,Barcelona,25000000
Youri Tielemans,22,Belgium,Central Midfield,38000000,Monaco,45000000
Ayoze Pérez,25,Spain,Centre-Forward,20000000,Newcastle,33400000
Dennis Praet,25,Belgium,Central Midfield,24000000,Sampdoria,19200000
Sébastien Haller,25,Ivory Coast,Centre-Forward,40000000,Frankfurt,50000000
Pablo Fornals,23,Spain,Central Midfield,25000000,Villarreal,28000000
Jarrod Bowen,23,England,Right Wing,10000000,Hull City,21300000
Albian Ajeti,22,Switzerland,Centre-Forward,7000000,Basel,11300000
Ismaïla Sarr,21,Senegal,Right Wing,30000000,Stade Rennais,30000000
João Pedro,18,Brazil,Centre-Forward,20000000,Fluminense,11500000
Ignacio Pussetto,24,Argentina,Centre-Forward,8000000,Udinese,8500000
Joelinton,22,Brazil,Central Midfield,35000000,Hoffenheim,43500000
Allan Saint-Maximin,22,France,Left Wing,25000000,Nice,18000000
Philip Billing,23,Denmark,Central Midfield,7000000,Huddersfield,16500000
Arnaut Danjuma,22,Netherlands,Left Wing,12000000,Club Brugge,16460000
Danny Ings,26,England,Centre-Forward,15000000,Liverpool,25100000
Che Adams,22,England,Centre-Forward,7000000,Birmingham,16700000
Moussa Djenepo,21,Mali,Left Wing,12000000,Standard Liège,15700000
Leandro Trossard,24,Belgium,Left Wing,16000000,Genk,15560000
Neal Maupay,22,France,Centre-Forward,12000000,Brentford,15560000
Aaron Mooy,29,Australia,Central Midfield,12000000,Huddersfield,3300000
Oli McBurnie,23,Scotland,Centre-Forward,8000000,Swansea,19100000
Lys Mousset,23,France,Centre-Forward,3500000,Bournemouth,11100000
Callum Robinson,24,Ireland,Centre-Forward,4500000,Preston,7800000
Luke Freeman,27,England,Attacking Midfield,3500000,QPR,5600000
Ben Osborn,24,England,Central Midfield,3000000,Nott'm Forest,3900000
Wesley Moraes,22,Brazil,Centre-Forward,20000000,Club Brugge,25000000
Ally Samatta,27,Tanzania,Centre-Forward,12000000,Genk,10500000
Mahmoud Trezeguet,24,Egypt,Left Wing,6000000,Kasimpasa,10000000
Anwar El Ghazi,24,Netherlands,Right Wing,7500000,Lille,9000000
Jota Peleteiro,28,Spain,Right Wing,5000000,Birmingham,4500000
Tanguy Ndombélé,22,France,Central Midfield,65000000,Lyon,62000000
Steven Bergwijn,22,Netherlands,Left Wing,35000000,PSV,30000000
Jack Clarke,18,England,Left Wing,6000000,Leeds,11000000
Takumi Minamino,24,Japan,Left Wing,12500000,Salzburg,8500000
Slobodan Tedic,19,Serbia,Centre-Forward,2000000,Cukaricki,3000000
Ryotaro Meshino,21,Japan,Left Wing,500000,Gamba Osaka,1000000
