Player,Age,Nationality,Position,Market_Value,Previous_Club,Transfer_Fee,source_file,league,Club,csvPlayer
Álvaro Morata,27,Spain,Centre-Forward,36000000,Chelsea,35000000.0,La_Liga_2020.csv,La Liga,,
Óscar Rodríguez,22,Spain,Attacking Midfield,15000000,real Madrid,13500000.0,La_Liga_2020.csv,La Liga,,
Luis Suárez,22,Colombia,Centre-Forward,7500000,Watford,10000000.0,La_Liga_2020.csv,La Liga,,
Raúl Guti,23,Spain,Central Midfield,800000,Real Zaragoza,5000000.0,La_Liga_2020.csv,La Liga,,
Edon Zhegrova,22,Kosovo,Right Winger,2000000,FC Basel,7000000.0,Ligue_1_2021.csv,Ligue 1,,
Myron Boadu,20,Netherlands,Centre-Forward,14000000,AZ Alkmaar,17000000.0,Ligue_1_2021.csv,Ligue 1,,
Jean Lucas,23,Brazil,Central Midfield,4500000,Olympique Lyon,11000000.0,Ligue_1_2021.csv,Ligue 1,,
Romain Faivre,23,France,Attacking Midfield,15000000,Stade Brestois 29,15000000.0,Ligue_1_2021.csv,Ligue 1,,
Kamaldeen Sulemana,19,Ghana,Left Winger,9000000,FC Nordsjaelland,17000000.0,Ligue_1_2021.csv,Ligue 1,,
Gaëtan Laborde,27,France,Centre-Forward,15000000,Montpellier HSC,15000000.0,Ligue_1_2021.csv,Ligue 1,,
Lovro Majer,23,Croatia,Attacking Midfield,13000000,Dinamo Zagreb,12000000.0,Ligue_1_2021.csv,Ligue 1,,
Gaël Kakuta,30,DR Congo,Attacking Midfield,8000000,Amiens SC,5000000.0,Ligue_1_2021.csv,Ligue 1,,
Calvin Stengs,22,Netherlands,Attacking Midfield,14000000,AZ Alkmaar,15000000.0,Ligue_1_2021.csv,Ligue 1,,
Andy Delort,29,Algeria,Centre-Forward,16000000,Montpellier HSC,10000000.0,Ligue_1_2021.csv,Ligue 1,,
Billal Brahimi,21,Algeria,Right Winger,1200000,Angers SCO,7000000.0,Ligue_1_2021.csv,Ligue 1,,
Gerson,24,Brazil,Central Midfield,20000000,CR Flamengo,20500000.0,Ligue_1_2021.csv,Ligue 1,,
Metinho,18,DR Congo,Central Midfield,5000000,Fluminense,5000000.0,Ligue_1_2021.csv,Ligue 1,,
Harry Kane,30,England,Centre-Forward,90000000,Tottenham Hotspur,95000000.0,Bundesliga_2023.csv,Bundesliga,,
Felix Nmecha,22,Germany,Central Midfield,15000000,VfL Wolfsburg,30000000.0,Bundesliga_2023.csv,Bundesliga,,
Marcel Sabitzer,29,Austria,Central Midfield,20000000,Bayern Munich,19000000.0,Bundesliga_2023.csv,Bundesliga,,
Niclas Füllkrug,30,Germany,Centre-Forward,13000000,SV Werder Bremen,17250000.0,Bundesliga_2023.csv,Bundesliga,,
Loïs Openda,23,Belgium,Centre-Forward,35000000,RC Lens,40000000.0,Bundesliga_2023.csv,Bundesliga,,
Benjamin Sesko,20,Slovenia,Centre-Forward,24000000,Red Bull Salzburg,31650000.0,Bundesliga_2023.csv,Bundesliga,,
Christoph Baumgartner,23,Austria,Attacking Midfield,24000000,TSG 1899 Hoffenheim,25500000.0,Bundesliga_2023.csv,Bundesliga,,
Eljif Elmas,24,North Macedonia,Attacking Midfield,24000000,SSC Napoli,24000000.0,Bundesliga_2023.csv,Bundesliga,,
Nicolas Seiwald,22,Austria,Central Midfield,20000000,Red Bull Salzburg,20000000.0,Bundesliga_2023.csv,Bundesliga,,
